sig	full_top_state	full_rank	loo_flips_top	n_patients	mean_spearman	min_spearman	median_top_delta	flag_patient_sensitive
AUC_C4_DOWN	Cycling	Cycling|NPC|AC|MES|OPC	0	20	0.9	0.6	0.00022760948691772802	False
AUC_C4_DOWN_CCDEP	NPC	NPC|Cycling|AC|MES|OPC	1	20	0.9099999999999998	0.49999999999999994	0.0001415875613430944	True
AUC_C4_UP	MES	MES|OPC|Cycling|AC|NPC	0	20	0.9899999999999999	0.8999999999999998	-2.5623751128147424e-05	False
AUC_C4_UP_CCDEP	MES	MES|OPC|AC|Cycling|NPC	0	20	0.9999999999999998	0.9999999999999999	-2.5071306978262964e-05	False
AUC_C5_DOWN	MES	MES|Cycling|AC|OPC|NPC	12	20	0.9249999999999998	0.7999999999999999	-0.00010544648752221146	True
AUC_C5_DOWN_CCDEP	MES	MES|AC|Cycling|OPC|NPC	0	20	0.9899999999999999	0.8999999999999998	-1.9866226008502128e-05	False
AUC_C5_STABLE_DOWN	MES	MES|Cycling|AC|OPC|NPC	1	20	0.985	0.8999999999999998	-0.0002812251345882962	True
AUC_C5_STABLE_DOWN_CCDEP	MES	MES|AC|Cycling|OPC|NPC	0	20	0.9899999999999999	0.8999999999999998	-0.0001669403287743053	False
AUC_C5_STABLE_UP	MES	MES|NPC|OPC|AC|Cycling	1	20	0.9599999999999997	0.7	0.00011813323560374631	True
AUC_C5_STABLE_UP_CCDEP	MES	MES|OPC|NPC|AC|Cycling	1	20	0.9599999999999997	0.6	0.00011285175101456367	True
AUC_C5_UP	MES	MES|NPC|OPC|AC|Cycling	0	20	0.9149999999999998	-0.6	0.00010054092868525647	False
AUC_C5_UP_CCDEP	MES	MES|NPC|OPC|AC|Cycling	0	20	0.9099999999999998	-0.6	0.00012141482558007127	False
AUC_M_HSF1_heat_shock	MES	MES|NPC|OPC|Cycling|AC	0	20	0.845	-0.3	0.0004961919796970706	False
AUC_M_HSF1_heat_shock_CCDEP	MES	MES|NPC|Cycling|AC|OPC	0	20	0.21999999999999997	-0.9999999999999999	0.0006197215486442313	False
AUC_M_RIGI_typeI_IFN	MES	MES|AC|OPC|Cycling|NPC	8	20	0.6149999999999999	-0.3	0.0003254798363171695	True
AUC_M_RIGI_typeI_IFN_CCDEP	AC	AC|MES|OPC|Cycling|NPC	5	20	0.8099999999999999	0.09999999999999999	0.0002152587505217275	True
AUC_M_TNF_NFkB	MES	MES|AC|NPC|OPC|Cycling	0	20	0.9999999999999998	0.9999999999999999	9.009567304685669e-05	False
AUC_M_TNF_NFkB_CCDEP	MES	MES|AC|NPC|OPC|Cycling	0	20	0.9999999999999998	0.9999999999999999	0.00011003193663221203	False
AUC_M_autophagy_lysosome	MES	MES|AC|NPC|OPC|Cycling	0	20	0.5549999999999999	0.09999999999999999	0.00013429318806368201	False
AUC_M_autophagy_lysosome_CCDEP	MES	MES|AC|Cycling|NPC|OPC	0	20	0.6749999999999999	0.09999999999999999	0.00013842911618023045	False
AUC_M_cholesterol_SREBP	AC	AC|MES|OPC|Cycling|NPC	1	20	0.9799999999999999	0.6	0.00019313635764064974	True
AUC_M_cholesterol_SREBP_CCDEP	AC	AC|MES|OPC|Cycling|NPC	0	20	0.9999999999999998	0.9999999999999999	0.00015871193542343703	False
AUC_M_p53_apoptosis	MES	MES|AC|Cycling|NPC|OPC	0	20	0.9999999999999998	0.9999999999999999	0.0004134892489597314	False
AUC_M_p53_apoptosis_CCDEP	MES	MES|AC|NPC|Cycling|OPC	0	20	0.9999999999999998	0.9999999999999999	0.0003146648414363089	False
AUC_M_shared_ER_UPR	MES	MES|Cycling|NPC|AC|OPC	0	20	0.9999999999999998	0.9999999999999999	0.00016933954701254264	False
AUC_M_shared_ER_UPR_CCDEP	MES	MES|Cycling|NPC|AC|OPC	0	20	0.9999999999999998	0.9999999999999999	0.0001748476182918713	False
AUC_M_shared_antiproliferative	Cycling	Cycling|NPC|OPC|MES|AC	0	20	0.9999999999999998	0.9999999999999999	1.3280732587379037e-05	False
AUC_M_shared_antiproliferative_CCDEP	Cycling	Cycling|NPC|OPC|MES|AC	0	20	0.9999999999999998	0.9999999999999999	5.268090737896607e-06	False
