signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C4_DOWN	C4 R-sig	down	ENSG00000001036	FUCA2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000001084	GCLC	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000001461	NIPAL3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000001497	LAS1L	1	1	1
C4_UP	C4 R-sig	up	ENSG00000001629	ANKIB1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000001630	CYP51A1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000002079		0	0	0
C4_DOWN	C4 R-sig	down	ENSG00000002746	HECW1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000002822	MAD1L1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000002834	LASP1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000003056	M6PR	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000003436	TFPI	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000003756	RBM5	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000004059	ARF5	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000004399	PLXND1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000004478	FKBP4	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000004487	KDM1A	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000004534	RBM6	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000004660	CAMKK1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000004700	RECQL	1	1	1
C4_UP	C4 R-sig	up	ENSG00000004766	VPS50	0	0	1
C4_UP	C4 R-sig	up	ENSG00000004779	NDUFAB1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000004866	ST7	1	1	1
C4_UP	C4 R-sig	up	ENSG00000004897	CDC27	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005007	UPF1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005020	SKAP2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005022	SLC25A5	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005156	LIG3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005175	RPAP3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005189	REXO5	0	0	0
C4_UP	C4 R-sig	up	ENSG00000005238	ATOSB	0	0	0
C4_UP	C4 R-sig	up	ENSG00000005249	PRKAR2B	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005339	CREBBP	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005448	WDR54	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005469	CROT	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005483	KMT2E	0	1	1
C4_UP	C4 R-sig	up	ENSG00000005801	ZNF195	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005810	MYCBP2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005812	FBXL3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000005884	ITGA3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005889	ZFX	1	1	1
C4_UP	C4 R-sig	up	ENSG00000005893	LAMP2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000006007	GDE1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006015	REX1BD	0	0	0
C4_DOWN	C4 R-sig	down	ENSG00000006025	OSBPL7	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006062	MAP3K14	1	0	1
C4_DOWN	C4 R-sig	down	ENSG00000006282	SPATA20	1	1	1
C4_UP	C4 R-sig	up	ENSG00000006432	MAP3K9	1	1	1
C4_UP	C4 R-sig	up	ENSG00000006468	ETV1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006530	AGK	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006534	ALDH3B1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000006634	DBF4	1	1	1
C4_UP	C4 R-sig	up	ENSG00000006695	COX10	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006704	GTF2IRD1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006712	PAF1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006744	ELAC2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000006747	SCIN	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000007080	CCDC124	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000007202	BLTP2	0	0	0
C4_UP	C4 R-sig	up	ENSG00000007341	ST7L	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000007520	TSR3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000007923	DNAJC11	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000007968	E2F2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008083	JARID2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008128	CDK11A	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008130	NADK	1	1	1
C4_UP	C4 R-sig	up	ENSG00000008277	ADAM22	1	1	1
C4_UP	C4 R-sig	up	ENSG00000008282	SYPL1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000008311	AASS	1	1	1
C4_UP	C4 R-sig	up	ENSG00000008394	MGST1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008441	NFIX	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008710	PKD1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008838	MED24	1	1	1
C4_UP	C4 R-sig	up	ENSG00000008869	HEATR5B	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000008952	SEC62	1	1	1
C4_UP	C4 R-sig	up	ENSG00000008988	RPS20	1	1	1
C4_UP	C4 R-sig	up	ENSG00000009413	REV3L	1	1	1
C4_UP	C4 R-sig	up	ENSG00000009830	POMT2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000009844	VTA1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000009954	BAZ1B	1	1	1
C4_UP	C4 R-sig	up	ENSG00000010017	RANBP9	1	1	1
C4_UP	C4 R-sig	up	ENSG00000010072	SPRTN	1	1	1
C4_UP	C4 R-sig	up	ENSG00000010244	ZNF207	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000010256	UQCRC1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000010270	STARD3NL	1	1	1
C4_UP	C4 R-sig	up	ENSG00000010278	CD9	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000010292	NCAPD2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000010404	IDS	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000010810	FYN	1	1	1
C4_UP	C4 R-sig	up	ENSG00000011021	CLCN6	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000011028	MRC2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000011105	TSPAN9	1	1	1
C4_UP	C4 R-sig	up	ENSG00000011114	BTBD7	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000011143	MKS1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000011198	ABHD5	1	1	1
C4_UP	C4 R-sig	up	ENSG00000011304	PTBP1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000011332	DPF1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000011405	PIK3C2A	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000011485	PPP5C	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000012048	BRCA1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000012171	SEMA3B	1	0	1
C4_DOWN	C4 R-sig	down	ENSG00000012211	PRICKLE3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000012232	EXTL3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000012660	ELOVL5	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000012963	UBR7	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013016	EHD3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013288	MAN2B2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013306	SLC25A39	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013364	MVP	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013374	NUB1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000013375	PGM3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000013441	CLK1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000013561	RNF14	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013573	DDX11	1	1	1
C4_UP	C4 R-sig	up	ENSG00000013588	GPRC5A	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000013810	TACC3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000014138	POLA2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000014164	ZC3H3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000014216	CAPN1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000014641	MDH1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000015171	ZMYND11	1	1	1
C4_UP	C4 R-sig	up	ENSG00000015479	MATR3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000015532	XYLT2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000015676	NUDCD3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000017260	ATP2C1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000017797	RALBP1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000018510	AGPS	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000018625	ATP1A2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000019144	PHLDB1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000019582	CD74	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000020426	MNAT1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000021762	OSBPL5	1	1	1
C4_UP	C4 R-sig	up	ENSG00000021776	AQR	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000021826	CPS1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000022277	RTF2	0	0	0
C4_UP	C4 R-sig	up	ENSG00000023041	ZDHHC6	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000023191	RNH1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000023287	RB1CC1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000023318	ERP44	1	1	1
C4_UP	C4 R-sig	up	ENSG00000023516	AKAP11	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000023697	DERA	1	1	1
C4_UP	C4 R-sig	up	ENSG00000023839	ABCC2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000024048	UBR2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000024526	DEPDC1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000025039	RRAGD	1	1	1
C4_UP	C4 R-sig	up	ENSG00000025156	HSF2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000025770	NCAPH2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000025796	SEC63	1	1	1
C4_UP	C4 R-sig	up	ENSG00000025800	KPNA6	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000026025	VIM	1	1	1
C4_UP	C4 R-sig	up	ENSG00000026103	FAS	1	1	1
C4_UP	C4 R-sig	up	ENSG00000026508	CD44	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000026559	KCNG1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000026751	SLAMF7	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000027847	B4GALT7	1	1	1
C4_UP	C4 R-sig	up	ENSG00000028116	VRK2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000028310	BRD9	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000028528	SNX1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000028839	TBPL1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000029363	BCLAF1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000029364	SLC39A9	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000029534	ANK1	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000029993	HMGB3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000030582	GRN	1	1	1
C4_UP	C4 R-sig	up	ENSG00000031003	FAM13B	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000031698	SARS1	0	0	0
C4_DOWN	C4 R-sig	down	ENSG00000031823	RANBP3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000032444	PNPLA6	1	1	1
C4_UP	C4 R-sig	up	ENSG00000033030	ZCCHC8	1	1	1
C4_UP	C4 R-sig	up	ENSG00000033170	FUT8	1	1	1
C4_UP	C4 R-sig	up	ENSG00000033627	ATP6V0A1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000034152	MAP2K3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000034713	GABARAPL2	1	1	1
C4_UP	C4 R-sig	up	ENSG00000035687	ADSS2	0	0	0
C4_UP	C4 R-sig	up	ENSG00000035862	TIMP2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000035928	RFC1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000036054	TBC1D23	1	1	1
C4_UP	C4 R-sig	up	ENSG00000036257	CUL3	1	1	1
C4_UP	C4 R-sig	up	ENSG00000036549	ZZZ3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000037042	TUBG2	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000037241	RPL26L1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000037749	MFAP3	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000038219	BOD1L1	1	1	1
C4_UP	C4 R-sig	up	ENSG00000038274	MAT2B	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000038358	EDC4	1	1	1
C4_DOWN	C4 R-sig	down	ENSG00000038382	TRIO	1	1	1
