assay	source	cell_line_factor	stimulus_factor	cell_line_char	organism	disease	array_design	data_file
GOV_1_Clariom_S_Human	G0V 1	GIN-28	none	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	GOV_1_Clariom_S_Human.CEL
GOV_2_Clariom_S_Human	G0V 2	GIN-28	none	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	GOV_2_Clariom_S_Human.CEL
GOV_3_Clariom_S_Human	G0V 3	GIN-28	none	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	GOV_3_Clariom_S_Human.CEL
GOV_4_Clariom_S_Human	G0V 4	GIN-28	none	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	GOV_4_Clariom_S_Human.CEL
GOV_5_Clariom_S_Human	G0V 5	GIN-28	none	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	GOV_5_Clariom_S_Human.CEL
G10_1a_Clariom_S_Human	G10 1a	GIN-28	Deep Brain Stimulation electric field (10V)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G10_1a_Clariom_S_Human.CEL
G10_2a_Clariom_S_Human	G10 2a	GIN-28	Deep Brain Stimulation electric field (10V)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G10_2a_Clariom_S_Human.CEL
G10_3a_Clariom_S_Human	G10 3a	GIN-28	Deep Brain Stimulation electric field (10V)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G10_3a_Clariom_S_Human.CEL
G10_4a_Clariom_S_Human	G10 4a	GIN-28	Deep Brain Stimulation electric field (10V)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G10_4a_Clariom_S_Human.CEL
G10_5a_Clariom_S_Human	G10 5a	GIN-28	Deep Brain Stimulation electric field (10V)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G10_5a_Clariom_S_Human.CEL
G200_1a_Clariom_S_Human	G200 1a	GIN-28	Tumor Treating Fields (200KHz)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G200_1a_Clariom_S_Human.CEL
G200_2a_Clariom_S_Human	G200 2a	GIN-28	Tumor Treating Fields (200KHz)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G200_2a_Clariom_S_Human.CEL
G200_3a_Clariom_S_Human	G200 3a	GIN-28	Tumor Treating Fields (200KHz)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G200_3a_Clariom_S_Human.CEL
G200_4a_Clariom_S_Human	G200 4a	GIN-28	Tumor Treating Fields (200KHz)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G200_4a_Clariom_S_Human.CEL
G200_5a_Clariom_S_Human	G200 5a	GIN-28	Tumor Treating Fields (200KHz)	GIN-28	Homo sapiens	glioblastoma multiforme	A-GEOD-23159	G200_5a_Clariom_S_Human.CEL
KOV_1_Clariom_S_Human	K0V 1	KNS-42	none	KNS-42	Homo sapiens	glioblastoma	A-GEOD-23159	KOV_1_Clariom_S_Human.CEL
KOV_2_Clariom_S_Human	K0V 2	KNS-42	none	KNS-42	Homo sapiens	glioblastoma	A-GEOD-23159	KOV_2_Clariom_S_Human.CEL
KOV_3_Clariom_S_Human	K0V 3	KNS-42	none	KNS-42	Homo sapiens	glioblastoma	A-GEOD-23159	KOV_3_Clariom_S_Human.CEL
KOV_4_Clariom_S_Human	K0V 4	KNS-42	none	KNS-42	Homo sapiens	glioblastoma	A-GEOD-23159	KOV_4_Clariom_S_Human.CEL
