matrix_col	group_short	library_size	detected_genes	detected_pct_of_62757	frac_non_integer_cells	frac_noninteger_pct	genes_passing_lowexpr_filter	qc_keep
T.Cells_M	ND-F	8369707	16199	25.81	3381	5.39	17096	True
T.Cells_N	ND-F	3508763	14059	22.4	2371	3.78	17096	True
T.Cells_P	ND-F	16374978	18047	28.76	4335	6.91	17096	True
T.Cells_Q	ND-F	4126028	12189	19.42	1462	2.33	17096	True
T.NPs_S	MAN-F	10579238	14757	23.51	2557	4.07	17096	True
T.NPs_T	MAN-F	11015459	14838	23.64	2695	4.29	17096	True
T.NPs_U	MAN-F	13627095	16067	25.6	3256	5.19	17096	True
T.NPs_V	MAN-F	8114175	14435	23.0	2475	3.94	17096	True
T.NPs_X	MAN-F	12707594	15685	24.99	3035	4.84	17096	True
UT.Cells_A	ND-NF	11801155	16599	26.45	3781	6.02	17096	True
UT.Cells_B	ND-NF	5940861	14806	23.59	2823	4.5	17096	True
UT.Cells_C	ND-NF	10239722	16080	25.62	3453	5.5	17096	True
UT.Cells_D	ND-NF	4495300	13982	22.28	2344	3.74	17096	True
UT.Cells_E	ND-NF	8279093	14999	23.9	2940	4.68	17096	True
UT.Cells_F	ND-NF	10116052	15434	24.59	3158	5.03	17096	True
UT.NPs_H	MAN-NF	12528324	15958	25.43	3466	5.52	17096	True
UT.NPs_I	MAN-NF	8665820	15731	25.07	3247	5.17	17096	True
UT.NPs_J	MAN-NF	3623450	13752	21.91	2148	3.42	17096	True
UT.NPs_K	MAN-NF	7021045	15426	24.58	2921	4.65	17096	True
UT.NPs_L	MAN-NF	7824270	15620	24.89	3087	4.92	17096	True
