contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	GOBP	prerank	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	-0.6402876661749981	-2.5084509594997106	0.0	0.0	0.0	100/244	9.18%	NONO;GTF2F1;SART1;HNRNPM;DDX23;CACTIN;PNN;ZMAT2;U2AF2;SNRNP70;SFPQ;SF3B2;PUF60;DDX46;HNRNPD;DHX38;HNRNPH3;PRPF6;MFAP1;SRSF11;YBX1;SRRT;SNRNP200;DHX16;SART3;SNRPD1;HNRNPA1;SF3A1;DDX42;CTNNBL1;HNRNPF;IK;PABPN1;CASC3;HNRNPA2B1;CSTF2T;ALYREF;RNF113A;SUGP1;CHERP;PRPF31;HNRNPH1;DDX41;RBM17;SNIP1;CCAR1;RBM19;HNRNPU;SRSF4;RBM5;SLU7;FIP1L1;ISY1;CPSF1;RBM10;BUD31;PQBP1;HNRNPK;POLR2F;HNRNPUL1;YTHDC1;U2AF1L4;FUS;SYF2;SNW1;RBM8A;SNRNP27;HNRNPA3;RBMX2;DNAJC8;SF1;SNRPB;GTF2F2;HNRNPR;RBM6;PSPC1;LSM4;TFIP11;WDR83;CWC25;SNRNP35;PRCC;PRPF40B;RBM15B;DHX15;CPSF7;SRSF6;SNRPF;SF3A2;CD2BP2;POLR2E;EIF4A3;EFTUD2;RALY;ESS2;SNRNP25;CLP1;RAVER1;WBP11;GEMIN6
C1	GOBP	prerank	mRNA splicing, via spliceosome (GO:0000398)	-0.6184745657844606	-2.442937311386432	0.0	0.0	0.0	102/266	9.18%	NONO;GTF2F1;SART1;HNRNPM;DDX23;CACTIN;PNN;ZMAT2;U2AF2;SNRNP70;SFPQ;SF3B2;PUF60;DDX46;HNRNPD;DHX38;HNRNPH3;PRPF6;MFAP1;SRSF11;YBX1;SRRT;SNRNP200;DHX16;SART3;SNRPD1;HNRNPA1;SF3A1;DDX42;CTNNBL1;HNRNPF;IK;PABPN1;CASC3;HNRNPA2B1;CSTF2T;ALYREF;RNF113A;SUGP1;CHERP;PRPF31;HNRNPH1;DDX41;RBM17;SNIP1;CCAR1;RBM19;HNRNPU;SRSF4;RBM5;SLU7;FIP1L1;ISY1;CPSF1;RBM10;BUD31;PQBP1;HNRNPK;POLR2F;HNRNPUL1;YTHDC1;U2AF1L4;FUS;SYF2;SNW1;RBM8A;SNRNP27;HNRNPA3;RBMX2;DNAJC8;SF1;SNRPB;GTF2F2;HNRNPR;RBM6;PSPC1;LSM4;TFIP11;WDR83;CWC25;SNRNP35;PRCC;PRPF40B;RBM15B;DHX15;SRPK2;CPSF7;SRSF6;SNRPF;SF3A2;CD2BP2;POLR2E;EIF4A3;EFTUD2;RALY;ESS2;SNRNP25;CLP1;PRMT7;RAVER1;WBP11;GEMIN6
C1	GOBP	prerank	mRNA processing (GO:0006397)	-0.6008662418061628	-2.3779263802969406	0.0	0.0	0.0	108/291	9.18%	NONO;GTF2F1;SART1;HNRNPM;SUPT5H;DDX23;CACTIN;PNN;ZMAT2;U2AF2;SNRNP70;SFPQ;SF3B2;PUF60;DDX46;HNRNPD;DHX38;HNRNPH3;PRPF6;MFAP1;SRSF11;AURKAIP1;YBX1;SRRT;SNRNP200;DHX16;SART3;SNRPD1;HNRNPA1;SF3A1;DDX42;CTNNBL1;HNRNPF;IK;PABPN1;CASC3;HNRNPA2B1;CSTF2T;ALYREF;RNF113A;SUGP1;CHERP;PRPF31;HNRNPH1;DDX41;RBM17;SNIP1;CCAR1;RBM19;HNRNPU;SRSF4;RBM5;SLU7;FIP1L1;ISY1;CPSF1;RBM10;BUD31;PQBP1;HNRNPK;POLR2F;HNRNPUL1;YTHDC1;U2AF1L4;FUS;SYF2;SNW1;AKAP8L;RBM8A;SNRNP27;HNRNPA3;RBMX2;DNAJC8;SF1;SNRPB;CMTR1;GTF2F2;HNRNPR;RBM6;ERCC2;PSPC1;LSM4;TFIP11;WDR83;CWC25;SNRNP35;PRCC;PRPF40B;RBM15B;SARNP;DHX15;CPSF7;SRSF6;SNRPF;SF3A2;CD2BP2;POLR2E;EIF4A3;EFTUD2;RALY;ESS2;SNRNP25;CLP1;TBRG4;THOC5;RAVER1;WBP11;GEMIN6
C1	GOBP	prerank	RNA processing (GO:0006396)	-0.5486577051617799	-2.0847768605034664	0.0	0.0010248116690472742	0.004	65/170	14.10%	NONO;DDX23;U2AF2;PPP1R9B;SFPQ;SF3B2;HNRNPD;HNRNPH3;PRPF6;SRSF11;LUC7L3;AURKAIP1;DKC1;DHX16;CCAR2;SNRPD1;DDX54;SF3A1;PPIG;HNRNPF;PABPN1;HNRNPA2B1;HNRNPH1;HNRNPU;SRSF4;RBM5;SLU7;RBM39;HNRNPK;HNRNPUL1;KHSRP;FUS;AKAP8L;RBM8A;MPHOSPH10;SNRPB;HNRNPR;RBM6;LSM4;TFIP11;SNRNP35;RP9;DHX15;SRPK2;PABPC4;SNRPF;SF3A2;PPP2R1A;RNASEL;ADAR;SNRNP25;CLP1;DEDD2;TUT7;METTL3;PRPF3;ZRSR2;YJU2;TARDBP;PPARGC1A;RBM4;SRSF7;ZMAT5;SCNM1;TCERG1
C1	GOBP	prerank	nucleosome organization (GO:0034728)	-0.5970950040045173	-2.0376848073186173	0.0	0.003484359674760732	0.017	33/78	9.62%	SMARCA4;NPM1;SUPT16H;SET;H1-4;NASP;SART3;SMARCE1;PAF1;ANP32B;HMGB2;ANP32E;KAT6B;H1-2;MCM3AP;GRWD1;CTCF;RSF1;CHAF1A;SMARCB1;SUPT6H;H1-5;NAP1L4;MACROH2A1;SMARCC1;DAXX;INO80;SMARCC2;SMARCD2;BRD2;H1-0;DMAP1;VPS72
C1	GOBP	prerank	mRNA splice site selection (GO:0006376)	-0.7382691915646705	-2.030734056369645	0.0	0.0037576427865066717	0.022	12/27	7.49%	PUF60;LUC7L3;SF3A1;SFSWAP;SLU7;LUC7L2;ISY1;YTHDC1;PSIP1;SF1;SRSF6;SF3A2
C1	GOBP	prerank	RNA splicing (GO:0008380)	-0.579753363151508	-2.0227450065386807	0.0	0.003806443342175589	0.026	39/96	14.10%	NONO;DDX23;PPP1R9B;SFPQ;SF3B2;HNRNPH3;PRPF6;SRSF11;LUC7L3;DHX16;CCAR2;SNRPD1;PPIG;RNF113A;SRSF4;SLU7;KHSRP;FUS;RBM8A;MPHOSPH10;SNRPB;LSM4;WDR83;SNRNP35;RP9;DHX15;SRPK2;SNRPF;PPP2R1A;SNRNP25;PRPF3;ZRSR2;YJU2;TARDBP;PPARGC1A;SRSF7;ZMAT5;SCNM1;TCERG1
C1	GOBP	prerank	sphingolipid biosynthetic process (GO:0030148)	0.5970455718527571	2.0061557468449784	0.0	0.04379717727008627	0.039	34/65	23.24%	VAPA;SAMD8;PRKD3;SMPD1;ASAH1;HACD3;CERS6;SMPD4;ELOVL7;DEGS1;CERS2;KDSR;CERT1;HACD2;HACD1;ELOVL1;B4GALT6;SPTLC3;ALOXE3;SGPP1;ACER3;SGMS2;ELOVL5;SGPL1;ST8SIA1;SPTLC2;ELOVL4;PLPP3;SPNS2;PRKD1;ELOVL3;CLN8;ALDH3A2;ASAH2
C1	GOBP	prerank	chromatin organization (GO:0006325)	-0.5356035774042751	-1.9686526026670683	0.0	0.011401029818150924	0.081	54/136	15.73%	SMARCA4;SAFB;NPM1;TOP1;BAZ1B;FAM50A;SMARCE1;EHMT1;HMGB2;RUVBL2;NUCKS1;SMARCA2;MCM3AP;HDAC5;RSF1;SMARCB1;HMGN1;DDX11;RUVBL1;LOXL2;SUPT6H;TADA2B;H1-5;HIRIP3;HDAC4;SOX15;PHF1;HCFC1;SMARCC1;DAXX;LRWD1;INO80;INO80C;SMARCA1;SMARCC2;PWWP3A;SMARCD2;KDM4A;KAT2A;MPND;CHD1;HMGN2;SUV39H1;MORC2;PHF19;HCFC2;KDM6A;BAZ1A;HMGN4;ACTL6A;SETDB1;HDAC10;MECOM;KDM4C
C1	GOBP	prerank	regulation of cellular protein localization (GO:1903827)	-0.6462325134415334	-1.9629474587929927	0.0	0.011386796322747491	0.09	20/43	14.42%	HSP90AA1;HSP90AB1;MAP1A;PIN1;PPM1F;CSNK1E;GPC1;PARP1;DVL1;CEP72;RAB11FIP5;MAPT;NDEL1;SUMO3;RALB;ATP13A2;CCDC66;KDM1A;VCP;TOR1A
