contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	REACTOME	prerank	mRNA Splicing - Major Pathway R-HSA-72163	-0.6435995745153031	-2.430178276324105	0.0	0.0	0.0	70/181	8.04%	GTF2F1;SART1;HNRNPM;DDX23;U2AF2;SNRNP70;SF3B2;PUF60;DDX46;HNRNPD;DHX38;PRPF6;SRSF11;YBX1;SRRT;SNRNP200;DHX16;HNRNPA1;SF3A1;DDX42;CTNNBL1;HNRNPF;PABPN1;CASC3;HNRNPA2B1;CSTF2T;ALYREF;RBM42;SUGP1;CHERP;PRPF31;HNRNPH1;RBM17;CCAR1;HNRNPU;SRSF4;RBM5;SLU7;FIP1L1;CPSF1;BUD31;PQBP1;HNRNPK;POLR2F;HNRNPUL1;U2AF1L4;FUS;SYF2;SNW1;RBM8A;SNRNP27;HNRNPA3;DNAJC8;SF1;SNRPB;GTF2F2;HNRNPR;LSM4;TFIP11;CWC25;PRCC;DHX15;CPSF7;SRSF6;SNRPF;SF3A2;CD2BP2;POLR2E;EIF4A3;EFTUD2
C1	REACTOME	prerank	mRNA Splicing R-HSA-72172	-0.6320404299500348	-2.4087963576299827	0.0	0.0	0.0	72/189	8.39%	GTF2F1;SART1;HNRNPM;DDX23;U2AF2;SNRNP70;SF3B2;PUF60;DDX46;HNRNPD;DHX38;PRPF6;SRSF11;YBX1;SRRT;SNRNP200;DHX16;HNRNPA1;SF3A1;DDX42;CTNNBL1;HNRNPF;PABPN1;CASC3;HNRNPA2B1;CSTF2T;ALYREF;RBM42;SUGP1;CHERP;PRPF31;HNRNPH1;RBM17;CCAR1;HNRNPU;SRSF4;RBM5;SLU7;FIP1L1;CPSF1;BUD31;PQBP1;HNRNPK;POLR2F;HNRNPUL1;U2AF1L4;FUS;SYF2;SNW1;RBM8A;SNRNP27;HNRNPA3;DNAJC8;SF1;SNRPB;GTF2F2;HNRNPR;LSM4;TFIP11;CWC25;SNRNP35;PRCC;DHX15;CPSF7;SRSF6;SNRPF;SF3A2;CD2BP2;POLR2E;EIF4A3;EFTUD2;SNRNP25
C1	REACTOME	prerank	Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	-0.5515836217326247	-2.1601814022958554	0.0	0.0	0.0	85/239	11.09%	GTF2F1;SART1;HNRNPM;DDX23;U2AF2;SNRNP70;SF3B2;PUF60;DDX46;HNRNPD;DHX38;PRPF6;SRSF11;YBX1;SRRT;SNRNP200;DHX16;HNRNPA1;SF3A1;DDX42;CTNNBL1;HNRNPF;PABPN1;CASC3;HNRNPA2B1;CSTF2T;ALYREF;RBM42;SUGP1;CHERP;PRPF31;HNRNPH1;RBM17;CCAR1;HNRNPU;SRSF4;RBM5;SLU7;FIP1L1;CPSF1;BUD31;PQBP1;HNRNPK;POLR2F;HNRNPUL1;U2AF1L4;FUS;SYF2;SNW1;RBM8A;SNRNP27;HNRNPA3;DNAJC8;SF1;SNRPB;GTF2F2;HNRNPR;TPR;NUP62;LSM4;TFIP11;NUP93;CWC25;SNRNP35;PRCC;SARNP;DHX15;CPSF7;SRSF6;SNRPF;SF3A2;CD2BP2;POLR2E;EIF4A3;EFTUD2;SNRNP25;THOC5;WBP11;GPKOW;SEC13;XAB2;CWC22;CSTF2;METTL3;PRPF3
C1	REACTOME	prerank	Collagen Chain Trimerization R-HSA-8948216	-0.6896748250236768	-2.023258470792502	0.0	0.0025886740924798367	0.008	10/36	3.15%	COL7A1;COL6A2;COL5A1;COL1A1;COL5A2;COL1A2;COL6A3;COL6A1;COL16A1;COL13A1
C1	REACTOME	prerank	Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366	0.6170408909189113	2.0213694980227297	0.0	0.010573022263922358	0.011	22/57	15.24%	SLC44A1;SLC30A6;SLC39A10;SLC11A2;SLC41A2;SLC30A1;SLC30A5;SLC39A8;SLC39A6;SLC22A5;SLC30A7;SLC6A15;SLC41A1;RUNX1;SLC6A6;SLC16A7;SLC16A1;SLC39A14;SLC44A3;SLC22A4;SLC39A2;SLC44A2
C1	REACTOME	prerank	Apoptotic Execution Phase R-HSA-75153	-0.6491362173160846	-2.0203739257210565	0.0	0.0020709392739838694	0.008	25/48	13.46%	ACIN1;CLSPN;LMNA;PLEC;H1-4;DBNL;SPTAN1;KPNA1;HMGB2;GSN;BCAP31;H1-2;KPNB1;ADD1;H1-5;LMNB1;MAPT;DFFA;H1-0;TJP2;ROCK1;FZR1;DFFB;H1-1;CASP6
C1	REACTOME	prerank	Programmed Cell Death R-HSA-5357801	-0.5213685674752349	-2.0095276139265628	0.0	0.002070939273983869	0.009	85/191	16.45%	HSP90AA1;ACIN1;CDC37;CLSPN;LMNA;CHMP4B;PLEC;PSME1;H1-4;DBNL;PSMD4;PSMD7;SPTAN1;KPNA1;PSMC3;CHMP2A;STUB1;HMGB2;PSMA7;FLOT2;FLOT1;PSMD2;GSN;BCAP31;UBB;H1-2;AKT1;YWHAE;DAPK3;DIABLO;KPNB1;DYNLL2;YWHAB;ADD1;PSMD9;GSDMD;H1-5;GSDME;PSMB8;PSMC5;PSMD8;STAT3;LMNB1;IRF1;MAPT;PSMC2;FADD;YWHAH;FASN;PSMC4;YWHAG;DFFA;DYNLL1;H1-0;IRF2;TJP2;BAK1;PSMD6;RNF103-CHMP3;RIPK1;PPP3CC;CHMP6;UACA;ROCK1;UBC;SEM1;FZR1;DFFB;H1-1;CASP6;PSMB6;AKT2;GNL3;BAD;PSMD14;DAPK2;PSMD3;CHMP7;HMGB1;C1QBP;APIP;VIM;LY96;SEPTIN4;PPP1R13B
C1	REACTOME	prerank	Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328	-0.7211749332097743	-1.9743413910786873	0.0	0.004881499717247692	0.025	14/26	14.97%	TUBB6;CHMP4B;TUBB3;CHMP2A;TUBB4B;TUBB2A;VPS4A;TUBA1B;CC2D1B;TUBA1C;RNF103-CHMP3;CHMP6;TUBB;CHMP7
C1	REACTOME	prerank	HSF1 Activation R-HSA-3371511	-0.7089372998398649	-1.9633285075280447	0.0	0.0053067818895836645	0.032	9/26	6.40%	HSP90AA1;HSP90AB1;HSPA1B;FKBP4;UBB;YWHAE;HSPA1A;DNAJB6;SERPINH1
C1	REACTOME	prerank	Synthesis Of Very Long-Chain Fatty acyl-CoAs R-HSA-75876	0.7301359575273068	1.9195802728445064	0.0	0.03892794560807777	0.062	14/20	23.10%	TECR;HACD3;ACSL3;ACSL1;ACSBG1;ELOVL7;ACSL4;HACD2;HACD1;ELOVL1;ELOVL5;ELOVL4;ELOVL3;HSD17B12
C1	REACTOME	prerank	Collagen Formation R-HSA-1474290	-0.5595303807713571	-1.908560924564453	0.0	0.011620270370687266	0.077	24/80	7.98%	COL7A1;CTSL;COL6A2;PLEC;COL5A1;P4HB;COL1A1;COL5A2;COL1A2;PPIB;COL6A3;COLGALT1;COL6A1;P3H3;LOXL2;COL16A1;COL13A1;LAMB3;CTSB;SERPINH1;PLOD1;CD151;P4HA2;PLOD3
