symbol	category	in_RNAseq_DESeq2	in_microarray_limma
A1CF	common	True	True
A2M	common	True	True
A3GALT2	common	True	True
A4GALT	common	True	True
AAAS	common	True	True
AACS	common	True	True
AADAT	common	True	True
AAGAB	common	True	True
AAK1	common	True	True
AAMDC	common	True	True
AAMP	common	True	True
AANAT	common	True	True
AAR2	common	True	True
AARD	common	True	True
AARS1	common	True	True
AARS2	common	True	True
AASDH	common	True	True
AASDHPPT	common	True	True
AASS	common	True	True
AATF	common	True	True
AATK	common	True	True
ABAT	common	True	True
ABCA1	common	True	True
ABCA12	common	True	True
ABCA13	common	True	True
ABCA2	common	True	True
ABCA3	common	True	True
ABCA4	common	True	True
ABCA5	common	True	True
ABCA6	common	True	True
ABCA7	common	True	True
ABCB1	common	True	True
ABCB10	common	True	True
ABCB11	common	True	True
ABCB4	common	True	True
ABCB6	common	True	True
ABCB7	common	True	True
ABCB8	common	True	True
ABCB9	common	True	True
ABCC1	common	True	True
ABCC10	common	True	True
ABCC11	common	True	True
ABCC12	common	True	True
ABCC2	common	True	True
ABCC3	common	True	True
ABCC4	common	True	True
ABCC5	common	True	True
ABCC6	common	True	True
ABCC9	common	True	True
ABCD1	common	True	True
ABCD3	common	True	True
ABCD4	common	True	True
ABCE1	common	True	True
ABCF1	common	True	True
ABCF2-H2BK1	common	True	True
ABCF3	common	True	True
ABCG1	common	True	True
ABCG2	common	True	True
ABCG4	common	True	True
ABCG5	common	True	True
ABCG8	common	True	True
ABHD1	common	True	True
ABHD10	common	True	True
ABHD11	common	True	True
ABHD12	common	True	True
ABHD13	common	True	True
ABHD14A	common	True	True
ABHD14A-ACY1	common	True	True
ABHD14B	common	True	True
ABHD15	common	True	True
ABHD16A	common	True	True
ABHD16B	common	True	True
ABHD17A	common	True	True
ABHD17B	common	True	True
ABHD17C	common	True	True
ABHD18	common	True	True
ABHD2	common	True	True
ABHD3	common	True	True
ABHD4	common	True	True
ABHD5	common	True	True
ABHD6	common	True	True
ABHD8	common	True	True
ABI1	common	True	True
ABI2	common	True	True
ABI3	common	True	True
ABI3BP	common	True	True
ABITRAM	common	True	True
ABL1	common	True	True
ABL2	common	True	True
ABLIM1	common	True	True
ABLIM2	common	True	True
ABLIM3	common	True	True
ABR	common	True	True
ABRACL	common	True	True
ABRAXAS1	common	True	True
ABRAXAS2	common	True	True
ABT1	common	True	True
ABTB1	common	True	True
ABTB2	common	True	True
ABTB3	common	True	True
ACAA1	common	True	True
ACAA2	common	True	True
ACACA	common	True	True
ACACB	common	True	True
ACAD10	common	True	True
ACAD11	common	True	True
ACAD8	common	True	True
ACAD9	common	True	True
ACADM	common	True	True
ACADS	common	True	True
ACADSB	common	True	True
ACADVL	common	True	True
ACAN	common	True	True
ACAP1	common	True	True
ACAP2	common	True	True
ACAP3	common	True	True
ACAT1	common	True	True
ACAT2	common	True	True
ACBD3	common	True	True
ACBD4	common	True	True
ACBD5	common	True	True
ACBD6	common	True	True
ACBD7	common	True	True
ACCS	common	True	True
ACCSL	common	True	True
ACD	common	True	True
ACE	common	True	True
ACE2	common	True	True
ACER2	common	True	True
ACER3	common	True	True
ACHE	common	True	True
ACIN1	common	True	True
ACKR2	common	True	True
ACKR3	common	True	True
ACLY	common	True	True
ACMSD	common	True	True
ACO1	common	True	True
ACO2	common	True	True
