db	pathway	GSE_C4	GSE_C5	EMTAB_U87MG_TTFields	EMTAB_U87MG_DBS	EMTAB_KNS42_TTFields	EMTAB_KNS42_DBS	EMTAB_GIN28_TTFields	EMTAB_GIN28_DBS	GSE_C4_padj	GSE_C5_padj	EMTAB_U87MG_TTFields_padj	EMTAB_U87MG_DBS_padj	EMTAB_KNS42_TTFields_padj	EMTAB_KNS42_DBS_padj	EMTAB_GIN28_TTFields_padj	EMTAB_GIN28_DBS_padj
HALLMARK	Adipogenesis	-1.2112	-1.2293	-1.9781	1.5688	-1.945	-1.9149	-1.9533	-1.943	0.1588	0.1488	0.0	0.0016	0.0	0.0	0.0	0.0
HALLMARK	Allograft Rejection	-1.095	-1.323	-1.2454	-1.1845	-1.2116	-1.1474	-1.0937	-1.0558	0.3519	0.0759	0.1288	0.0519	0.1573	0.2884	0.397	0.5014
HALLMARK	Androgen Response	1.6595	1.655	-1.7817	1.728	-1.8317	-1.796	-1.8712	-1.803	0.0018	0.003	0.0001	0.0009	0.0	0.0	0.0	0.0
HALLMARK	Angiogenesis	1.0348	-0.9186	-0.7606	-1.4236	1.0359	-0.763	0.9874	-0.7052	0.4885	0.6005	0.8615	0.0548	0.5306	0.8736	0.6701	0.8887
HALLMARK	Apical Junction	-1.7233	-1.5415	-1.2469	0.924	-1.3431	-1.3799	-1.6063	-1.5864	0.0002	0.0072	0.1281	0.7266	0.0394	0.0183	0.0	0.0001
HALLMARK	Apical Surface	-1.2393	-1.2436	-0.8939	1.277	1.2074	-0.9743	-0.8555	-0.9082	0.2622	0.2504	0.7465	0.1832	0.2301	0.6221	0.7806	0.7513
HALLMARK	Apoptosis	1.2931	1.4839	-1.7343	1.3982	-1.7323	-1.7261	-1.6304	-1.6788	0.0558	0.0068	0.0	0.0277	0.0	0.0	0.0	0.0
HALLMARK	Bile Acid Metabolism	1.0411	-0.9562	-0.8328	0.7969	-0.7752	-0.843	-1.0077	-1.0614	0.4286	0.6005	0.8244	0.8499	0.9389	0.8226	0.5988	0.5055
HALLMARK	Cholesterol Homeostasis	1.9011	1.9179	-1.8201	1.5064	-1.6468	-1.6454	-1.9664	-1.985	0.0001	0.0003	0.0	0.0229	0.0023	0.0016	0.0	0.0
HALLMARK	Coagulation	1.1533	-0.9461	-1.2149	-1.3027	-0.7025	-1.0693	-1.2439	-1.304	0.2361	0.6005	0.2252	0.0229	0.9961	0.4963	0.1676	0.0851
HALLMARK	Complement	1.5454	1.3155	-1.3715	-1.2572	-1.1693	-1.3663	-1.3652	-1.3847	0.0022	0.0456	0.0193	0.0229	0.2334	0.0195	0.0123	0.0081
HALLMARK	DNA Repair	-1.2156	1.1706	-2.0661	2.0929	-2.1205	-2.0579	-1.9132	-1.9383	0.1588	0.209	0.0	0.0	0.0	0.0	0.0	0.0
HALLMARK	E2F Targets	-2.3158	-2.1815	-1.9656	2.8472	-2.2793	-2.2529	-2.1246	-2.1356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HALLMARK	Epithelial Mesenchymal Transition	-1.7862	-1.9876	-1.4361	1.3899	-1.6234	-1.8068	-1.818	-1.8976	0.0	0.0	0.0063	0.0237	0.0	0.0	0.0	0.0
HALLMARK	Estrogen Response Early	-1.1342	-1.3748	-0.9868	-1.0801	-0.9293	-1.0198	-0.94	-0.9329	0.2771	0.0476	0.6535	0.1631	0.7744	0.58	0.7529	0.7513
HALLMARK	Estrogen Response Late	-1.177	-1.4034	-1.1677	1.3439	-1.2155	-1.285	-1.161	-1.1796	0.215	0.0287	0.249	0.0467	0.1533	0.0862	0.2423	0.2111
HALLMARK	Fatty Acid Metabolism	-1.0474	1.301	-1.8047	1.9696	-1.7529	-1.7753	-1.883	-1.8756	0.426	0.0596	0.0	0.0	0.0	0.0	0.0	0.0
HALLMARK	G2-M Checkpoint	-1.858	-1.7064	-1.9029	2.7706	-2.2401	-2.2524	-2.102	-2.189	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
