probe	symbol	entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B	rank_stat
TC1000010642.hg.1	A1CF	29974	-0.0279818857728269	1.46954702415766	-0.178581324419466	0.861959209329526	0.954265602934178	-6.7482559470815	-0.0645132858948493
TC1200009847.hg.1	A2M	2	-0.346053313648797	2.02834753202054	-1.60578703741633	0.140502327570351	0.444414265458302	-5.52304870007067	-0.852316481149742
TC1200006736.hg.1	A2ML1	144568	-0.148929186177765	1.56423612505383	-0.953723100868005	0.363498934016767	0.687812131462307	-6.29247572001923	-0.439496858398656
TC0100013650.hg.1	A3GALT2	127550	0.207350299762171	1.6022016396888	1.01760162816447	0.333697290045124	0.66080812957297	-6.23025345453367	0.476647320235311
TC2200008888.hg.1	A4GALT	53947	0.184462962693886	2.04176601738274	0.908493967030183	0.385740927664148	0.704142034978928	-6.33451514544086	0.413704279423548
TC0300012566.hg.1	A4GNT	51146	-0.291814546546081	1.55986886123052	-2.08784433915863	0.0643502071197377	0.294746930825227	-4.81192329848096	-1.19145005092254
TC1200010798.hg.1	AAAS	8086	0.339200638659145	3.47486324504157	1.92780858844108	0.0837868432547962	0.341234344106449	-5.05739475276976	1.07682417170904
TC1200009303.hg.1	AACS	65985	-0.518111493793481	2.81477393252434	-2.21314372309164	0.0522203420194616	0.26297812172016	-4.6147616003138	-1.28216028807266
TC0500013029.hg.1	AACSP1	729522	-0.340988648994653	2.4185140472162	-1.45231608141637	0.178135649250687	0.496548100007888	-5.72808744479496	-0.749249159011964
TC0300009192.hg.1	AADAC	13	0.0627342564238424	1.39024731019455	0.321822469059829	0.754448716603018	0.91381698201473	-6.70949393268502	0.122370275905985
TC0300009189.hg.1	AADACL2	344752	-0.0366148911131638	1.5138166821438	-0.223125306802348	0.828089267039391	0.943388523430787	-6.73855233941787	-0.081922844262262
TC0100006903.hg.1	AADACL3	126767	0.0306002784387955	1.46238430689044	0.209818909060945	0.838171691442877	0.946546358142564	-6.74167447834516	0.0766670111921781
TC0100006900.hg.1	AADACL4	343066	-0.0495447594620169	1.61607055435058	-0.311834991322517	0.761797797370018	0.915956322146262	-6.71290468047698	-0.118160287373983
TC0400012396.hg.1	AADAT	51166	0.45129496705518	1.80297206336541	1.97972035471274	0.0769433698495186	0.325402594935225	-4.97863865973083	1.11382879703879
TC1500009845.hg.1	AAGAB	79719	0.604225198569575	5.52510171086314	3.39672359314266	0.0071591712532457	0.0808350112975487	-2.65981946675125	2.14513724877786
TC0200012961.hg.1	AAK1	22848	0.360504376023834	2.77220722302735	1.53270448511228	0.157447212991061	0.468055136017271	-5.62223614522999	0.802865022504832
TC1100008541.hg.1	AAMDC	28971	1.10255637192765	4.31478560992366	4.54724166364503	0.00116359957446384	0.0263203900416783	-0.814256375553927	2.93419644624935
TC0200015720.hg.1	AAMP	14	-0.0406593511201212	2.40048894573459	-0.158123052297671	0.877619116462613	0.961738185860723	-6.75199632624181	-0.0566939254472402
TC1700008946.hg.1	AANAT	15	-0.467103556788085	2.42454593893011	-2.11168135189833	0.0618514393445657	0.288749791267067	-4.77472192022017	-1.20865018945234
TC2000007243.hg.1	AAR2	25980	0.093737132208239	4.74875945236322	0.348684935808901	0.73481218548435	0.905800648731932	-6.69979910651403	0.133823650345635
TC0800008631.hg.1	AARD	441376	-0.117659534293345	3.83129744965552	-0.675335055713649	0.515315770495567	0.793011120896761	-6.52297141650167	-0.287926566379604
TC1600010752.hg.1	AARS1	16	-0.465277582458936	5.49452427303617	-1.4972228187763	0.166304741311605	0.480944100340783	-5.66939103809519	-0.779095368963798
TC0600011915.hg.1	AARS2	57505	0.220767412358228	1.85616616308071	1.45367286153332	0.177767796142095	0.495878589238474	-5.72633054005544	0.750146911670271
TC0400010768.hg.1	AASDH	132949	0.324321590485994	1.78016461885116	1.68938614527785	0.123129765966285	0.415150695294807	-5.40639350896594	0.909636945994436
TC1100008955.hg.1	AASDHPPT	60496	0.985092834482924	2.68812397939843	2.97096727895548	0.0145526596542681	0.125411176969856	-3.36971585974243	1.83705762746055
TC0700012439.hg.1	AASS	10157	-0.178968231590277	1.87471811597061	-1.05767355730058	0.31595794386501	0.644650366981293	-6.18956868284744	-0.500370721061605
TC1700007658.hg.1	AATF	26574	0.730080147747961	5.57623757559923	3.16864908669101	0.0104506719527308	0.10269003242602	-3.03952977278897	1.98085578457866
TC1700012015.hg.1	AATK	9625	-0.50805997713453	3.46936792241281	-2.18139247748	0.0550670276005849	0.270597761328809	-4.66508647756326	-1.25910836516577
TC1600006826.hg.1	ABAT	18	-0.305215927568494	2.29673465365204	-1.51342020073363	0.162208595844749	0.474749636984957	-5.64794838841466	-0.789926135149362
TC0900011072.hg.1	ABCA1	19	-0.606882465236975	2.23088433411	-2.80715413577958	0.0191778681322176	0.147295778713804	-3.64303234142781	-1.7171996719241
TC1700012459.hg.1	ABCA10	10349	-0.147878191863963	1.42676622290029	-0.978562646196529	0.351686791838181	0.677585275156423	-6.26867106576982	-0.45384394200296
TC0200015645.hg.1	ABCA12	26154	-0.259225337114813	1.3912081872616	-1.84603697715901	0.095733863737618	0.366039659845605	-5.17957140454434	-1.01893441297584
TC0700007479.hg.1	ABCA13	154664	0.0200425304663527	1.8843433507971	0.131301067394537	0.898233687532402	0.968246272462375	-6.75621481254935	0.0466106611024304
TC0900012025.hg.1	ABCA2	20	-0.121035975728635	2.2772379630007	-0.508754239995602	0.622351087137204	0.853078664949901	-6.62651257373644	-0.205964547479086
TC1600009105.hg.1	ABCA3	21	-0.225097805753919	1.72537103618366	-1.2140038307774	0.253616137670999	0.584104580319081	-6.01934021530132	-0.595823115622779
