probe	symbol	entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B	rank_stat
TC1000010642.hg.1	A1CF	29974	-0.115983569845954	1.41221170552666	-0.598925901080922	0.562368161283167	0.672511784708305	-7.28577684112081	-0.249979275062282
TC1200009847.hg.1	A2M	2	-0.00738503581340888	2.27060511313217	-0.030465565824438	0.976287296716435	0.984540191664132	-7.47829658845278	-0.010422361617856
TC1200006736.hg.1	A2ML1	144568	0.0395129445934668	1.69695607824311	0.18201308535901	0.859161087031736	0.905766761013732	-7.46069284537093	0.0659254011860636
TC0100013650.hg.1	A3GALT2	127550	1.15997304500928	2.22740964605535	4.35475705332702	0.00138806040335896	0.00617111211063788	-1.63904063601264	2.85759163454781
TC2200008888.hg.1	A4GALT	53947	0.240551707495872	2.07037456331292	1.10778385297561	0.293549829845921	0.416344617823722	-6.84457263113874	0.532318167021963
TC0300012566.hg.1	A4GNT	51146	-0.00182925040087523	1.7670883227819	-0.00935056766369879	0.992720917433722	0.995687214995775	-7.47875695113316	-0.00317282708761127
TC1200010798.hg.1	AAAS	8086	-0.546470861384643	2.86826316698099	-2.11697720542978	0.0599662176845105	0.122376453698428	-5.44787449950583	-1.22209334303397
TC1200009303.hg.1	AACS	65985	-0.384725397784692	2.92836997242513	-1.79972850201263	0.101693584541188	0.184797946136236	-5.94038568237894	-0.992706444188803
TC0500013029.hg.1	AACSP1	729522	0.33020317586297	2.88221281850198	1.83581857007709	0.0958542854288702	0.17635553975677	-5.88625571056803	1.01838846602529
TC0300009192.hg.1	AADAC	13	0.441136512502362	1.63952813536957	2.19979653891212	0.0521103388761007	0.109700486568623	-5.31394607471318	1.28307610258565
TC0300009189.hg.1	AADACL2	344752	0.1459670994521	1.6372815754308	0.750401424804451	0.470073823043663	0.590414588683813	-7.17873072820505	0.327833932653957
TC0100006903.hg.1	AADACL3	126767	0.228479099897215	1.59284636507992	1.02031824558055	0.331312685785715	0.455642924321082	-6.93621534548226	0.479761934896012
TC0100006900.hg.1	AADACL4	343066	0.460945347987206	1.95875656691016	1.95313472513689	0.0789466061735667	0.151491232638373	-5.70672013625092	1.10266653508917
TC0400012396.hg.1	AADAT	51166	0.187376709340417	1.6055363216958	0.944816051730609	0.366729831444749	0.491594802896578	-7.01036896663649	0.435653761146861
TC1500009845.hg.1	AAGAB	79719	-3.62250218956097	2.67851082360613	-18.4398151406286	3.95335863493085e-09	2.47306220926243e-07	11.6892241523593	-8.40303378618661
TC0200012961.hg.1	AAK1	22848	-0.145130041612275	2.41795073622119	-0.573961789206305	0.578506836069768	0.686495633165678	-7.30128288240735	-0.237691504733257
TC1100008541.hg.1	AAMDC	28971	-1.0357157816671	2.83676815648298	-4.54150585484022	0.00103596321600013	0.00487962994253631	-1.33273290728724	-2.98465566483381
