signature	anchor_state	discovery_delta	discovery_fdr	ccdep_la_delta	ccdep_la_fdr	lopo_layerA	layerA_delta	layerA_fdr	expanded_state_delta	expanded_state_fdr	layerB_effect	layerB_fdr	direction_concordance	final_evidence_grade	note
C4_UP	MES/AC	0.0063	7.6e-5	0.0042	0.0059	stable	0.0037/0.0075	0.0062/0.0040	0.0048	0.0053	not evaluable	NA	concordant	 A	Layer A base 显著
C4_DOWN	Cycling	0.0069	7.6e-5	0.0032	0.0175	stable	0.0175	0.0040	0.0004	0.594	not evaluable	NA	concordant	 A	Cycling 方向一致且显著
C5_UP	MES	0.0048	0.0029	0.0055	0.0175	stable (0.0117-0.0547)	0.0042	0.0563	0.0067	0.0053	not evaluable	NA	directional (base 未达显著)	 C	冻结保守口径；Layer B 不可评估
C5_STABLE_UP	MES	0.0045	0.0038	0.0056	0.0175	stable	0.0047	0.0563	0.0072	0.0053	not evaluable	NA	directional	 C	同 C5_UP
C5_DOWN	MES	0.0091	1.9e-4	0.0055	0.0175	stable (flip 0)	0.0010	0.495	0.0007	0.594	not evaluable	NA	directional (弱)	 C	base MES ns；CCDEP 后显著
C5_STABLE_DOWN	MES	0.0100	1.9e-4	0.0061	0.0175	stable	0.0011	0.549	0.0008	0.639	not evaluable	NA	directional (弱)	 C	同 C5_DOWN
M_shared_antiproliferative	Cycling	0.0342	6.7e-5	NA	NA	stable	0.0498	0.0040	0.0067(ns)	0.249	not evaluable	NA	concordant	 A	CC 基因含于模块，CCDEP 不适用
M_shared_ER_UPR	Cycling	0.0053	0.0030	0.0103	0.0175	stable	0.0213	0.0040	0.0128	0.0137	not evaluable	NA	concordant	 A	Cycling 组分重复稳健
M_shared_ER_UPR	MES	0.0108	2.3e-4	0.0103	0.0175	stable	0.0081	0.110	0.0128	0.0137	not evaluable	NA	directional (core ns)	 B	MES 组分仅在 expanded 显著
M_HSF1_heat_shock	MES	0.0097	0.0020	0.0011(ns)	0.897	MES 不稳(7/11 flip但均ns)	-0.0002	1.000	0.0025	0.495	not evaluable	NA	inconsistent (LA→NPC, fdr 0.004)	 E	COHORT-DEPENDENT / NOT REPLICATED
M_cholesterol_SREBP	MES/AC	0.0098/0.0166	0.0038/0.0014	0.0248	0.0059	stable	0.0199/0.0217	0.0062/0.0040	0.0211	0.0053	not evaluable	NA	concordant	 A	两队列显著同向
M_autophagy_lysosome	MES	0.0076	0.0021	0.0073	0.060(ns)	stable	0.0066	0.110	0.0081	0.0101	not evaluable	NA	directional (core ns)	 B	MES 组分仅在 expanded 显著
M_TNF_NFkB	MES/AC	0.0271	7.6e-5	0.0258	0.0059	stable	0.0214/0.0186	0.0114/0.0040	0.0240	0.0053	not evaluable	NA	concordant	 A	强重复
M_p53_apoptosis	MES/AC	0.0162	7.6e-5	0.0210	0.0059	stable	0.0163/0.0111	0.0062/0.0040	0.0184	0.0053	not evaluable	NA	concordant	 A	强重复
M_RIGI_typeI_IFN	AC	0.0126	0.0021	0.0009(ns)	0.594	stable	0.0103	0.0089	NA	NA	not evaluable	NA	concordant	 A	AC 组分 Layer A fdr=0.0089 显著；expanded 未单独列 AC 数值
M_RIGI_typeI_IFN	MES	0.0095	0.0017	0.0009(ns)	0.594	NA	0.0005	0.604	-0.0017(ns)	0.694	not evaluable	NA	not concordant (无反向显著)	 D	Discovery-only；MES 未重复且未反向
