expanded_label	cells	patients
Hypoxia	1402	11
OTHER	895	4
NPC/OPC	696	11
Cell Cycle - G2/M	594	11
Stress	552	11
Interferon/MHC-II (I)	502	11
Stress (in vitro)	479	11
Respiration	457	10
MYC	312	11
Cell Cycle - G1/S	311	11
Unfolded protein response	302	11
Protein maturation	292	11
Interferon/MHC-II (II)	275	10
Cell Cycle HMG-rich	267	11
Oligo normal	220	11
EMT I	192	11
MP41 (Unassigned)	182	11
EMT III	175	11
Translation initiation	172	11
Secreted I	159	10
Chromatin	113	11
Metal response	104	11
Proteasomal degradation	103	7
EMT II	91	8
Cilia	54	10
RBCs	41	9
Platelet activation	33	7
EMT IV	30	8
Skin pigmentation	22	7
Hemato-related II	12	7
Hemato-related I	11	6
Glutathione	9	6
IG	8	5
Alveolar	8	3
Secreted II	2	1
PDAC-related	1	1
