cohort	sig	state	removed	n_pat	delta	frac_pos	p
A_core	C5_UP	MES	BT333	9	0.003162499267081046	0.7777777777777778	0.0546875
A_core	C5_UP	MES	BT338	9	0.0038750691350673857	0.7777777777777778	0.0546875
A_core	C5_UP	MES	BT346	9	0.005053099890076827	0.8888888888888888	0.01171875
A_core	C5_UP	MES	BT363	9	0.004231329846556855	0.7777777777777778	0.0546875
A_core	C5_UP	MES	BT368	9	0.003775624918263492	0.7777777777777778	0.0546875
A_core	C5_UP	MES	BT389	9	0.004594199289723871	0.7777777777777778	0.02734375
A_core	C5_UP	MES	BT390	9	0.004921063953303162	0.8888888888888888	0.01953125
A_core	C5_UP	MES	BT397	10	0.00422785777188468	0.8	0.02734375
A_core	C5_UP	MES	BT400	9	0.00447102845680943	0.7777777777777778	0.0390625
A_core	C5_UP	MES	BT402	9	0.004237707317188557	0.7777777777777778	0.0546875
A_core	C5_UP	MES	BT409	9	0.003956955644776173	0.7777777777777778	0.0546875
A_core	C5_UP	NPC	BT333	10	7.331159453706215e-05	0.6	0.845703125
A_core	C5_UP	NPC	BT338	10	0.0008247116652746577	0.7	0.375
A_core	C5_UP	NPC	BT346	10	-0.00012931008279388757	0.6	0.845703125
A_core	C5_UP	NPC	BT363	10	-0.00024931231969059774	0.6	0.921875
A_core	C5_UP	NPC	BT368	10	0.0001278574286302736	0.6	0.845703125
A_core	C5_UP	NPC	BT389	10	0.00018044487749312442	0.6	0.76953125
A_core	C5_UP	NPC	BT390	10	0.0007544482532384599	0.7	0.375
A_core	C5_UP	NPC	BT397	10	-0.0004983492171929838	0.6	1.0
A_core	C5_UP	NPC	BT400	10	9.30970296678213e-05	0.6	0.845703125
A_core	C5_UP	NPC	BT402	10	0.0005559491080506795	0.7	0.431640625
A_core	C5_UP	NPC	BT409	10	0.00026367722141711346	0.7	0.6953125
A_core	C5_STABLE_UP	MES	BT333	9	0.003278728377796648	0.7777777777777778	0.0546875
A_core	C5_STABLE_UP	MES	BT338	9	0.004388511681387677	0.7777777777777778	0.0546875
A_core	C5_STABLE_UP	MES	BT346	9	0.005536314954304326	0.8888888888888888	0.0078125
A_core	C5_STABLE_UP	MES	BT363	9	0.004867326674428401	0.7777777777777778	0.0390625
A_core	C5_STABLE_UP	MES	BT368	9	0.004441582867156556	0.7777777777777778	0.0546875
A_core	C5_STABLE_UP	MES	BT389	9	0.0050342831249609405	0.7777777777777778	0.0390625
A_core	C5_STABLE_UP	MES	BT390	9	0.005276586973066359	0.8888888888888888	0.02734375
A_core	C5_STABLE_UP	MES	BT397	10	0.004674403647329395	0.8	0.02734375
A_core	C5_STABLE_UP	MES	BT400	9	0.00489744149521006	0.7777777777777778	0.0390625
A_core	C5_STABLE_UP	MES	BT402	9	0.004620856875383815	0.7777777777777778	0.0546875
A_core	C5_STABLE_UP	MES	BT409	9	0.004402403449599166	0.7777777777777778	0.0546875
A_core	C5_STABLE_UP	NPC	BT333	10	0.0011460070192453541	0.7	0.4921875
A_core	C5_STABLE_UP	NPC	BT338	10	0.0019672915126889624	0.8	0.130859375
A_core	C5_STABLE_UP	NPC	BT346	10	0.0005681474148705567	0.7	0.625
A_core	C5_STABLE_UP	NPC	BT363	10	0.000730856748511377	0.7	0.625
A_core	C5_STABLE_UP	NPC	BT368	10	0.0010642115902310789	0.7	0.4921875
A_core	C5_STABLE_UP	NPC	BT389	10	0.0010041971867867816	0.7	0.4921875
A_core	C5_STABLE_UP	NPC	BT390	10	0.0015798811166920612	0.8	0.232421875
A_core	C5_STABLE_UP	NPC	BT397	10	0.0004896464379373411	0.7	0.625
A_core	C5_STABLE_UP	NPC	BT400	10	0.000957207510610314	0.7	0.556640625
A_core	C5_STABLE_UP	NPC	BT402	10	0.0014679130497799787	0.8	0.275390625
A_core	C5_STABLE_UP	NPC	BT409	10	0.0012029252013779246	0.7	0.4921875
A_core	C5_DOWN	MES	BT333	9	0.0006223710396757484	0.6666666666666666	0.49609375
A_core	C5_DOWN	MES	BT338	9	0.0016939138666887121	0.7777777777777778	0.12890625
