cohort	sig	state	removed	n_pat	delta	frac_pos	p
B_mapped_all	C5_UP	MES	BT333	9	0.0055842681091219865	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT338	9	0.006301761332673992	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT346	9	0.006781909166601781	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT363	9	0.0068734129379122155	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT368	9	0.006524219968447863	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT389	9	0.007339802397927444	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT390	9	0.007326981665194299	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT397	10	0.0067302690776323	1.0	0.001953125
B_mapped_all	C5_UP	MES	BT400	9	0.007075916821631088	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT402	9	0.006971673333871633	1.0	0.00390625
B_mapped_all	C5_UP	MES	BT409	9	0.006522745042940703	1.0	0.00390625
B_mapped_all	C5_UP	NPC	BT333	10	7.179383523929772e-05	0.6	0.845703125
B_mapped_all	C5_UP	NPC	BT338	10	0.0010022495210788795	0.7	0.375
B_mapped_all	C5_UP	NPC	BT346	10	0.0002433518750192709	0.6	0.76953125
B_mapped_all	C5_UP	NPC	BT363	10	-0.0001384530358216174	0.6	0.921875
B_mapped_all	C5_UP	NPC	BT368	10	0.00010484852226662067	0.6	0.845703125
B_mapped_all	C5_UP	NPC	BT389	10	0.00011959594652919404	0.6	0.845703125
B_mapped_all	C5_UP	NPC	BT390	10	0.0008031881849263512	0.7	0.375
B_mapped_all	C5_UP	NPC	BT397	10	-0.0004703501333949589	0.6	1.0
B_mapped_all	C5_UP	NPC	BT400	10	-2.2374428832205863e-05	0.6	0.845703125
B_mapped_all	C5_UP	NPC	BT402	10	0.0006358084596739588	0.7	0.431640625
B_mapped_all	C5_UP	NPC	BT409	10	0.0004309022850583877	0.7	0.6953125
B_mapped_all	C5_STABLE_UP	MES	BT333	9	0.005727223524718637	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT338	9	0.006821353894966125	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT346	9	0.007219868380502901	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT363	9	0.007525704775872678	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT368	9	0.007169431416852655	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT389	9	0.0077804946835287915	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT390	9	0.0076655971285140255	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT397	10	0.007180651203238142	1.0	0.001953125
B_mapped_all	C5_STABLE_UP	MES	BT400	9	0.007506863651112256	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT402	9	0.007355594457838621	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	MES	BT409	9	0.007034380118474731	1.0	0.00390625
B_mapped_all	C5_STABLE_UP	NPC	BT333	10	0.0011471595261141499	0.6	0.431640625
B_mapped_all	C5_STABLE_UP	NPC	BT338	10	0.0020727243338439783	0.7	0.10546875
B_mapped_all	C5_STABLE_UP	NPC	BT346	10	0.0009205457700184105	0.6	0.4921875
B_mapped_all	C5_STABLE_UP	NPC	BT363	10	0.0007953881022614628	0.6	0.556640625
B_mapped_all	C5_STABLE_UP	NPC	BT368	10	0.0010136830136135532	0.6	0.4921875
B_mapped_all	C5_STABLE_UP	NPC	BT389	10	0.0009266068314302322	0.6	0.4921875
B_mapped_all	C5_STABLE_UP	NPC	BT390	10	0.001594613111834231	0.7	0.193359375
B_mapped_all	C5_STABLE_UP	NPC	BT397	10	0.0005017129647435503	0.6	0.556640625
B_mapped_all	C5_STABLE_UP	NPC	BT400	10	0.0008059124363974157	0.6	0.556640625
B_mapped_all	C5_STABLE_UP	NPC	BT402	10	0.0014878305946380067	0.7	0.322265625
B_mapped_all	C5_STABLE_UP	NPC	BT409	10	0.0013049297959924488	0.7	0.375
B_mapped_all	C5_DOWN	MES	BT333	9	0.00029073514355135475	0.5555555555555556	0.734375
B_mapped_all	C5_DOWN	MES	BT338	9	0.0012034480809350139	0.6666666666666666	0.25
B_mapped_all	C5_DOWN	MES	BT346	9	0.000671368064771416	0.5555555555555556	0.65234375
B_mapped_all	C5_DOWN	MES	BT363	9	0.0007237278451798593	0.5555555555555556	0.5703125
B_mapped_all	C5_DOWN	MES	BT368	9	0.0014821328439409667	0.6666666666666666	0.203125
B_mapped_all	C5_DOWN	MES	BT389	9	-0.00014125622248465733	0.5555555555555556	0.8203125
B_mapped_all	C5_DOWN	MES	BT390	9	0.0009140566475116149	0.6666666666666666	0.42578125
B_mapped_all	C5_DOWN	MES	BT397	10	0.0007295010495670939	0.6	0.4921875
B_mapped_all	C5_DOWN	MES	BT400	9	0.000652191808938718	0.5555555555555556	0.65234375
B_mapped_all	C5_DOWN	MES	BT402	9	0.0008626725222400871	0.6666666666666666	0.49609375
B_mapped_all	C5_DOWN	MES	BT409	9	0.0006359337610865663	0.5555555555555556	0.65234375
B_mapped_all	C5_DOWN	NPC	BT333	10	0.0013397961529003411	0.6	0.4921875
B_mapped_all	C5_DOWN	NPC	BT338	10	0.00045989402721356986	0.5	0.921875
B_mapped_all	C5_DOWN	NPC	BT346	10	0.00010106605746310616	0.5	1.0
B_mapped_all	C5_DOWN	NPC	BT363	10	0.0005282340465483481	0.6	0.845703125
B_mapped_all	C5_DOWN	NPC	BT368	10	0.0009925533453791324	0.6	0.556640625
B_mapped_all	C5_DOWN	NPC	BT389	10	0.0006113968502068246	0.6	0.625
B_mapped_all	C5_DOWN	NPC	BT390	10	-0.00020954711999299214	0.5	0.921875
B_mapped_all	C5_DOWN	NPC	BT397	10	0.0004571272491051048	0.5	0.921875
B_mapped_all	C5_DOWN	NPC	BT400	10	0.00043553832536277206	0.5	0.921875
B_mapped_all	C5_DOWN	NPC	BT402	10	0.0006697586183165849	0.6	0.625
B_mapped_all	C5_DOWN	NPC	BT409	10	-0.00040497204008417277	0.5	0.845703125
B_mapped_all	C5_STABLE_DOWN	MES	BT333	9	0.00024310918796696977	0.6666666666666666	0.8203125
B_mapped_all	C5_STABLE_DOWN	MES	BT338	9	0.0012258389616018636	0.7777777777777778	0.30078125
B_mapped_all	C5_STABLE_DOWN	MES	BT346	9	0.0006965734105760636	0.6666666666666666	0.65234375
B_mapped_all	C5_STABLE_DOWN	MES	BT363	9	0.0007358657002036874	0.6666666666666666	0.65234375
B_mapped_all	C5_STABLE_DOWN	MES	BT368	9	0.0016246348586822625	0.7777777777777778	0.25
B_mapped_all	C5_STABLE_DOWN	MES	BT389	9	2.341196071665842e-05	0.6666666666666666	0.91015625
