source	signature_module	ttfields_dbs_hitman_source	discovery_direction	discovery_effect	discovery_fdr	cc_depletion	lopo	random_null	layerA_direction	layerA_effect	layerA_fdr	expanded_sensitivity	layerB_availability	final_grade	paper_position	allowed_conclusion	forbidden_conclusion
GSE324656 C4 (MANs main effect)	C4_UP	GSE324656 factorial C4 (MANs main effect; not HITMAN-specific)	MES-like (MES/AC)	MES +0.0063	7.6e-5	CCDEP retains MES (LA fdr 0.0059)	stable (0 flip)	Discovery null: no systematic FP	C4_UP -> MES/AC concordant	MES +0.0037 / AC +0.0075	0.0062 / 0.0040	expanded MES fdr 0.0053	not evaluable (Layer B cells < threshold)	A	Main Results / Main Figures	"MANs-main-effect signatures reproducibly align to MES/AC (UP) vs Cycling (DOWN) malignant-state axes in two independent scRNA cohorts; patient-level robust"	"C4 = HITMAN-specific / C4 proves MANs field effect / causal or direct-target statements / survival or clinical benefit"
GSE324656 C4 (MANs main effect)	C4_DOWN	GSE324656 factorial C4 (MANs main effect; not HITMAN-specific)	Cycling-like	Cycling +0.0069	7.6e-5	CCDEP retains Cycling-associated direction (LA MES fdr 0.0175; cycling enrich removed)	stable	Discovery null: no systematic FP	Cycling concordant	Cycling +0.0175	0.0040	expanded n.s. (Cycling term removed from mapped cells only partially)	not evaluable	A	Main Results / Main Figures	"C4_DOWN reproducibly enriches Cycling malignant cells in two cohorts"	"C4_DOWN = proliferation marker only / any cell-cycle proxy claim beyond enrichment / treatment causality"
GSE324656 C5 interaction	M_C5_UP (830)	GSE324656 factorial C5 (MANs x field interaction; HITMAN-enriched estimand; comparator direction reversed)	MES-like (Discovery MES/OPC weak)	MES +0.0048	0.0029	CCDEP retains MES (LA fdr 0.0175)	Layer A stable; Discovery base 12-patient-sensitive (CCDEP stable); A-core 0 flip	Discovery null: no systematic FP	MES-directional, base not significant	MES +0.0042	0.0563	expanded MES fdr 0.0053 (sensitivity only)	not evaluable	C	Secondary / context-specific finding (explicitly incompletely replicated); no Main-Figure anchor	C5 shows MES-directional concordance in human GBM malignant states with residual signal after CC-depletion and expanded-state sensitivity; incompletely replicated in independent cohort; not a validated MES program	C5 independently replicated / C5 validated MES-like program / C5 causal or central-claim support / any "replicated" wording / clinical implication
GSE324656 C5 interaction	C5_STABLE_UP (682 stable 1602)	GSE324656 C5 stable (both-engine)	MES-like	MES +0.0045	0.0038	CCDEP retains MES (LA fdr 0.0175)	stable	Discovery null: no systematic FP	MES-directional, base not significant	MES +0.0047	0.0563	expanded MES fdr 0.0053 (sensitivity only)	not evaluable	C	Secondary / context-specific (incompletely replicated)	Same as C5_UP (directional concordance only)	Same as C5_UP; no upgrade via stable-engine label
GSE324656 C5 interaction	C5_DOWN (1099)	GSE324656 C5 interaction	MES-like (strongest Discovery of C5 series; Cycling co-enrichment)	MES +0.0091	1.9e-4	CCDEP removes Cycling co-enrichment, retains MES (LA fdr 0.0175)	Layer A stable; Discovery base flip 12 (CCDEP stable)	Discovery null: no systematic FP	MES-directional, weak, base n.s.	MES +0.0010	0.495	expanded n.s. (fdr 0.594)	not evaluable	C	Secondary / context-specific (incompletely replicated); report Cycling co-enrichment & CCDEP behavior as diagnostic	C5_DOWN MES-directional concordance only; CC-dependent Cycling component documented	No independent replication; no state-program claims
GSE324656 C5 interaction	C5_STABLE_DOWN (920 stable 1602)	GSE324656 C5 interaction stable	MES-like	MES +0.0100	1.9e-4	CCDEP retains MES (LA fdr 0.0175)	stable	Discovery null: no systematic FP	MES-directional, weak, base n.s.	MES +0.0011	0.549	expanded n.s.	not evaluable	C	Secondary / context-specific (incompletely replicated)	Same as C5_DOWN	No upgrade via stable label
E-MTAB-9043 shared (TTFields/DBS)	M_shared_antiproliferative	C1 Scenario D shared electric-field program (E2F/MYC/G2M/DNA replication; TTFields+DBS down)	Cycling		0.000067 (Cycling fdr)	module contains CC genes; CCDEP not applicable	stable; 1/11 flip at most	Discovery null: no systematic FP	Cycling concordant	Cycling +0.0498	0.0040	expanded Cycling attenuated in mapped set (n.s.)	not evaluable	A	Main Results / Main Figures (replication anchor)	"Shared electric-field anti-proliferative program reproducibly localizes to Cycling malignant cells across Discovery and independent Layer A"	"Electric fields kill cycling cells / direct clinical benefit / causal mechanism; interpretation as pure proliferation artifact"
E-MTAB-9043 shared	M_shared_ER_UPR (Cycling)	C1 shared ER-UPR program (down in shared)	Cycling (+MES in Discovery)	Cycling +0.0053	0.0030	CCDEP retains Cycling direction	stable	Discovery null: no systematic FP	Cycling concordant	Cycling +0.0213	0.0040	Cycling retained; MES expanded fdr 0.0137	not evaluable	A	Main Results / Main Figures (Cycling anchor)	Shared ER-UPR component reproducibly enriched in Cycling cells	ER-UPR as independent state program / mechanism beyond enrichment
E-MTAB-9043 shared	M_shared_ER_UPR (MES component)	C1 shared ER-UPR	MES +0.0108	2.3e-4	CCDEP LA MES fdr 0.0175	stable	Discovery null: no systematic FP	core MES n.s.	MES +0.0081	0.110	expanded MES fdr 0.0137 (sensitivity-dependent)	not evaluable	B	Main text allowed with explicit sensitivity-dependent qualifier	ER-UPR MES component supported only under expanded-state sensitivity; do not present as independent replication	Present ER-UPR-MES as established without sensitivity qualifier
C1 HITMAN-enriched	M_HSF1_heat_shock	C1 HITMAN-enriched (HSF1 heat-shock)	MES	MES +0.0097	0.0020	CCDEP n.s. in LA (fdr 0.897)	MES unstable in LA (7/11 flip but all n.s.); NPC stable	Discovery null: no systematic FP	NPC (opposite)	NPC +0.0145 (fdr 0.004); MES -0.0002	1.000	expanded MES still n.s. (fdr 0.495); NPC retained	not evaluable	E	Negative/heterogeneity result only (Supplement); not a supporting conclusion	Report as cohort-dependent localization (Discovery MES vs Couturier NPC), not replicated; interpretable as biological/technical heterogeneity	Any conserved/shared/HSF1-MES-stable claim; main-text supportive use; HITMAN hallmark state statement
C1 HITMAN-enriched	M_cholesterol_SREBP	C1 HITMAN-enriched (cholesterol/SREBP)	MES/AC	MES +0.0098 / AC +0.0166	0.0038 / 0.0014	CCDEP retains MES/AC	stable	Discovery null: no systematic FP	MES/AC concordant	MES +0.0199 / AC +0.0217	0.0062 / 0.0040	expanded MES fdr 0.0053	not evaluable	A	Main Results / Main Figures	SREBP/cholesterol program reproducibly enriched in MES/AC-like malignant states in two cohorts	Any causal/clinical statement; treatment changes cholesterol pathway in patients
C1 HITMAN-enriched	M_autophagy_lysosome	C1 HITMAN-enriched (autophagy/lysosome)	MES	MES +0.0076	0.0021	CCDEP n.s. at fdr 0.060 (A core)	stable	Discovery null: no systematic FP	core MES n.s.	MES +0.0066	0.110	expanded MES fdr 0.0101 (sensitivity-dependent)	not evaluable	B	Main text with explicit sensitivity-dependent qualifier	Autophagy/lysosome MES component supported only under expanded-state sensitivity	Unqualified MES replication; mechanism claim
