symbol	source
ABL1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
AK2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
AMD1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ANP32E	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ARID4A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ASF1A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ASF1B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ATAD2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ATF5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ATRX	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
AURKA	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
AURKB	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BARD1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BCL3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BIRC5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BRCA1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BRCA2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BRMS1L	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BUB1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BUB1B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
BUB3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CASP8AP2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CBX1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CBX5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCNA2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCNB2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCND1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCNE1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCNF	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCNT1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CCP110	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC20	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC25A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC25B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC27	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC45	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC6	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDC7	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDCA3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDCA8	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDK1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDK4	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDKN1A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDKN1B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDKN2A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDKN2C	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CDKN3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CENPA	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CENPE	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CENPF	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CENPM	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHAF1A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHEK1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHEK2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
