sample	role	cells	malignant	nan_ct
BT322	GBM_tissue	3066	7	3059
BT324-GSC	GSC_culture	5078	14	5064
BT326-GSC	GSC_culture	2462	9	2453
BT333	GBM_tissue	536	536	0
BT333-GSC	GSC_culture	4540	19	4521
BT338_1of2	GBM_tissue	1072	679	393
BT338_2of2	GBM_tissue	930	4	926
BT346	GBM_tissue	1705	1705	0
BT363-GSC	GSC_culture	7213	94	7119
BT363_1of2	GBM_tissue	3882	3321	561
BT363_2of2	GBM_tissue	5377	84	5293
BT364_2of2	GBM_tissue	3366	37	3329
BT368	GBM_tissue	2208	2208	0
BT368-GSC	GSC_culture	4454	60	4394
BT389	GBM_tissue	972	972	0
BT390	GBM_tissue	4692	1116	3576
BT397_1of2	GBM_tissue	3081	327	2754
BT397_2of2	GBM_tissue	3001	56	2945
BT400	GBM_tissue	4279	4279	0
BT402	GBM_tissue	1048	1048	0
BT407	GBM_tissue	110	6	104
BT409	GBM_tissue	940	940	0
HFA567_cd133	Normal_culture	3779	127	3652
HFA567_total	Normal_culture	7237	196	7041
HFA570_cd133	Normal_culture	1999	61	1938
HFA570_total	Normal_culture	10256	281	9975
HFA571_cd133	Normal_culture	7716	202	7514
HFA571_total	Normal_culture	3619	114	3505
NSC1_cd133	Normal_culture	1717	41	1676
