sample	age_group	patients	cells	malignant_cells	mean_genes	platform
BT1160	Pediatric	1	335	335	5234.316417910448	Neftel_SS2
BT1187	Pediatric	1	219	8	5322.125	Neftel_SS2
BT749	Pediatric	1	317	315	7087.238095238095	Neftel_SS2
BT771	Pediatric	1	339	328	6943.253048780488	Neftel_SS2
BT786	Pediatric	1	212	209	7327.33014354067	Neftel_SS2
BT830	Pediatric	1	220	220	7168.027272727273	Neftel_SS2
BT85	Pediatric	1	245	244	4525.008196721312	Neftel_SS2
BT920	Pediatric	1	301	288	5275.75	Neftel_SS2
MGH100	Adult	1	209	209	6872.995215311004	Neftel_SS2
MGH101	Adult	1	200	153	4154.83660130719	Neftel_SS2
MGH102	Adult	1	312	206	5716.97572815534	Neftel_SS2
MGH104	Adult	1	355	355	6569.338028169014	Neftel_SS2
MGH105	Adult	1	634	396	5205.25505050505	Neftel_SS2
MGH106	Adult	1	200	136	6245.838235294118	Neftel_SS2
MGH110	Adult	1	359	301	6026.637873754153	Neftel_SS2
MGH113	Adult	1	260	214	5224.5046728971965	Neftel_SS2
MGH115	Adult	1	165	160	6514.09375	Neftel_SS2
MGH121	Adult	1	297	292	5771.606164383562	Neftel_SS2
MGH122	Adult	1	273	200	6979.15	Neftel_SS2
MGH124	Adult	1	370	327	5801.954128440367	Neftel_SS2
MGH125	Adult	1	399	332	5127.358433734939	Neftel_SS2
MGH128	Adult	1	184	159	6131.509433962264	Neftel_SS2
MGH129	Adult	1	192	190	5620.926315789474	Neftel_SS2
MGH136	Adult	1	231	229	5686.572052401747	Neftel_SS2
MGH143	Adult	1	274	273	5607.706959706959	Neftel_SS2
MGH151	Adult	1	163	121	4315.743801652892	Neftel_SS2
MGH152	Adult	1	229	228	5369.723684210527	Neftel_SS2
MGH66	Adult	1	436	435	6589.101149425287	Neftel_SS2
