platform	sample	patient_id	age_group	adult_status	overlap_SS2	analysis_layer	evidence_source	cell	MGH_prefix	cell_type	malignant
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-A04	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-A05	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-A07	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-A09	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-A10	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-A11	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B03	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B04	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B06	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B09	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B10	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B11	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-B12	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C03	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C04	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C05	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C06	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C07	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C09	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-C12	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D04	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D05	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D07	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D08	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D09	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D10	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D11	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-D12	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-E03	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-E04	MGH101	Macrophage	no
Neftel_SS2	MGH101	MGH101	Adult	Adult	NA(self)	PRIMARY_DISCOVERY	3CA_Cells.csv age_group	MGH101-P1-E09	MGH101	Macrophage	no
