block	cohort	module_a	module_b	effect_rho	CI95_low	CI95_high	P	FDR_BH	expected_sign	direction_match	min_pair_set_coverage	n	grade	note
Q1_architecture	TCGA	C4_UP	C4_DOWN	-0.3220298879953703	-0.4219077118579383	-0.2144295816172587	2.2589704475508045e-08	4.5179408951016096e-08	-1.0	True	0.971	288	A	
Q1_architecture	TCGA	C4_UP	M_shared_antiproliferative	0.0082486366138995	-0.1074353179679749	0.1237122174437427	0.8891517801422264	0.8891517801422264	-1.0	False	0.971	288	A	
Q1_architecture	TCGA	C4_UP	M_shared_ER_UPR	0.2369242532019981	0.1247591389912436	0.3431100319466267	4.881627686876336e-05	6.508836915835114e-05	-1.0	False	0.971	288	A	
Q1_architecture	TCGA	C4_UP	M_cholesterol_SREBP	0.327139822930607	0.2198719446129244	0.4265913669739546	1.3097674545281291e-08	2.8210375943682778e-08	1.0	True	0.971	288	A	
Q1_architecture	TCGA	C4_UP	M_TNF_NFkB	0.3892567787516728	0.2865682116221393	0.4831030672570892	7.42606607004647e-12	1.890271363284556e-11	1.0	True	0.971	288	A	
Q1_architecture	TCGA	C4_UP	M_p53_apoptosis	0.2871851753613927	0.177495303585536	0.3898270553777332	7.147341928247523e-07	1.1772092587701804e-06	1.0	True	0.971	288	A	
Q1_architecture	TCGA	C4_UP	M_RIGI_typeI_IFN	0.2012491510233936	0.087707766863068	0.3096285069430438	0.0005910776885155	0.0007195728381928			0.971	288	A	
Q1_architecture	TCGA	C4_DOWN	M_shared_antiproliferative	0.2967911698395284	0.1876465922603171	0.3986959979724758	2.883922375704871e-07	5.383321767982426e-07	1.0	True	0.974	288	A	
Q1_architecture	TCGA	C4_DOWN	M_shared_ER_UPR	0.3849822568912788	0.2819464555588451	0.4792391570347685	1.3095365823368499e-11	3.0555853587859825e-11	1.0	True	0.974	288	A	
Q1_architecture	TCGA	C4_DOWN	M_cholesterol_SREBP	0.2872072788943411	0.1775186350855105	0.3898474848231554	7.132703332613692e-07	1.1772092587701804e-06	-1.0	False	0.974	288	A	
Q1_architecture	TCGA	C4_DOWN	M_TNF_NFkB	0.2624668949358797	0.1514807368968082	0.3669174936229291	6.354713157804478e-06	8.896598420926269e-06	-1.0	False	0.974	288	A	
Q1_architecture	TCGA	C4_DOWN	M_p53_apoptosis	0.2698856443581737	0.1592724290102016	0.3738067210146958	3.372816262751328e-06	4.9704660714230095e-06	-1.0	False	0.974	288	A	
