GSM	sample_title	group_design	treatment_char	cell_line	cell_type	genotype	organism	molecule	library_strategy	library_layout	instrument	SRX	SRR	SRA_spots	SRA_bases	SRA_size_MB	in_processed_matrix	raw_FASTQ_available	note
GSM9581721	UT-Cells_A	ND-NF	No device without magnetic field (ND-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474291	SRR37588379	25205662	2016452960	747	Yes	Yes (SRA)	
GSM9581722	UT-Cells_B	ND-NF	No device without magnetic field (ND-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474292	SRR37588378	12675343	1014027440	373	Yes	Yes (SRA)	
GSM9581723	UT-Cells_C	ND-NF	No device without magnetic field (ND-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474293	SRR37588377	21688644	1735091520	639	Yes	Yes (SRA)	
GSM9581724	UT-Cells_D	ND-NF	No device without magnetic field (ND-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474294	SRR37588376	9362895	749031600	275	Yes	Yes (SRA)	
GSM9581725	UT-Cells_E	ND-NF	No device without magnetic field (ND-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474295	SRR37588375	15645120	1251609600	466	Yes	Yes (SRA)	
GSM9581726	UT-Cells_F	ND-NF	No device without magnetic field (ND-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474296	SRR37588374	19134603	1530768240	566	Yes	Yes (SRA)	
GSM9581727	UT-NPs_G	MAN-NF	MANs without magnetic field (MAN-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474297	SRR37588373	50	4000	0	No	No - empty/low-depth run	SRA run essentially empty (spots<100); sample EXCLUDED from processed matrix
GSM9581728	UT-NPs_H	MAN-NF	MANs without magnetic field (MAN-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474298	SRR37588372	24781782	1982542560	733	Yes	Yes (SRA)	
GSM9581729	UT-NPs_I	MAN-NF	MANs without magnetic field (MAN-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474299	SRR37588371	21277041	1702163280	631	Yes	Yes (SRA)	
GSM9581730	UT-NPs_J	MAN-NF	MANs without magnetic field (MAN-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474300	SRR37588370	9368490	749479200	280	Yes	Yes (SRA)	
GSM9581731	UT-NPs_K	MAN-NF	MANs without magnetic field (MAN-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474301	SRR37588369	17165953	1373276240	513	Yes	Yes (SRA)	
GSM9581732	UT-NPs_L	MAN-NF	MANs without magnetic field (MAN-NF)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474302	SRR37588368	17630097	1410407760	520	Yes	Yes (SRA)	
GSM9581733	T-Cells_M	ND-F	No device under magnetic field (ND-F)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474303	SRR37588367	19390766	1551261280	573	Yes	Yes (SRA)	
GSM9581734	T-Cells_N	ND-F	No device under magnetic field (ND-F)	MG-U87	Cancer cells	WT	Homo sapiens	total RNA	RNA-Seq	PAIRED	NextSeq 500	SRX32474304	SRR37588366	7571650	605732000	224	Yes	Yes (SRA)	
