figure	panel	plotted_metric	source_file	plotted_value
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('GIN-28', 'Deep Brain Stimulation electric field (10V)')=5
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('GIN-28', 'Tumor Treating Fields (200KHz)')=5
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('GIN-28', 'none')=5
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('KNS-42', 'Deep Brain Stimulation electric field (10V)')=5
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('KNS-42', 'Tumor Treating Fields (200KHz)')=4
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('KNS-42', 'none')=5
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('U87-MG', 'Deep Brain Stimulation electric field (10V)')=5
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('U87-MG', 'Tumor Treating Fields (200KHz)')=4
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	('U87-MG', 'none')=2
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|GSE_C4=-2.32*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|GSE_C5=-2.18*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|EMTAB_U87MG_TTFields=-1.97*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|EMTAB_U87MG_DBS=2.85*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|EMTAB_KNS42_TTFields=-2.28*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|EMTAB_KNS42_DBS=-2.25*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|EMTAB_GIN28_TTFields=-2.12*
Fig3	B	signed NES	C1_focus_pathways.tsv	E2F Targets|EMTAB_GIN28_DBS=-2.14*
Fig3	B	signed NES	C1_focus_pathways.tsv	Myc Targets V1|GSE_C4=-1.94*
Fig3	B	signed NES	C1_focus_pathways.tsv	Myc Targets V1|GSE_C5=-1.64*
Fig3	B	signed NES	C1_focus_pathways.tsv	Myc Targets V1|EMTAB_U87MG_TTFields=-2.48*
Fig3	B	signed NES	C1_focus_pathways.tsv	Myc Targets V1|EMTAB_U87MG_DBS=2.69*
