figure	panel	plotted_metric	source_file	plotted_value
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_DOWN:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_DOWN:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_DOWN:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_RIGI_typeI_IFN:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_UP:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_DOWN:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_DOWN:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_UP:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_UP:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_UP:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_UP:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_DOWN:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_DOWN:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_UP:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_DOWN:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_RIGI_typeI_IFN:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_DOWN:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_UP:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_UP:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_UP:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_RIGI_typeI_IFN:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_RIGI_typeI_IFN:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_DOWN:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_DOWN:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_UP:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_DOWN:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_UP:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_DOWN:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:AC
