export	axes_index	n_values	payload_digest	matched_in_other_export	n_distinct_values	distinct_values
panel_render_fig6_adonly	0	56	f2b8f84149d5	YES	28	-0.322029888; -0.169075449; -0.149255613; -0.0750520438; 0.00824863661; 0.060053792; 0.201249151; 0.218090034; 0.236924253; 0.262466895; 0.269885644; 0.286519558; 0.287185175; 0.287207279; 0.29679117; 0.327139823; 0.384982257; 0.389256779; 0.415503217; 0.467732358; 0.57565537; 0.588080569; 0.614950428; 0.623370367; 0.624204775; 0.63528819; 0.664754209; 0.899757966
panel_render_fig6_adonly	1	22	84e3b12b29ce	YES	12	-479.223909; 0; 0.8; 1; 84.381074; 211.763368; 287.761411; 413.935315; 428.648414; 790.607556; 935.70809; 2024.30666
panel_render_fig6_adonly	2	4	f89f0d614930	YES	1	0
panel_render_fig6_adonly	3	56	835fd1a246b7	YES	28	0.122295375; 0.195676642; 0.200667703; 0.367707734; 0.406709677; 0.407774582; 0.429166731; 0.441525845; 0.44600855; 0.45312398; 0.459655655; 0.461326079; 0.469072678; 0.469200155; 0.490943646; 0.508882239; 0.513413136; 0.537137971; 0.542657598; 0.5557637; 0.598145356; 0.686390983; 0.732933541; 0.768280606; 0.789458997; 0.816868247; 0.819911387; 0.909913719
panel_render_fig6_adonly	4	4	f89f0d614930	YES	1	0
panel_render_fig6_adonly	5	270	00a785b1a1ab	YES	85	-1; -0.322029888; -0.169075449; -0.149255613; -0.0750520438; 0; 0.00824863661; 0.060053792; 0.122295375; 0.195676642; 0.200667703; 0.201249151; 0.218090034; 0.236924253; 0.262466895; 0.269885644; 0.286519558; 0.287185175; 0.287207279; 0.29679117; 0.327139823; 0.367707734; 0.384982257; 0.389256779; 0.406709677; 0.407774582; 0.415503217; 0.429166731; 0.441525845; 0.44600855; 0.45312398; 0.459655655; 0.461326079; 0.467732358; 0.469072678; 0.469200155; 0.490943646; 0.508882239; 0.513413136; 0.537137971; 0.542657598; 0.5557637; 0.57565537; 0.588080569; 0.598145356; 0.614950428; 0.623370367; 0.624204775; 0.63528819; 0.664754209; 0.686390983; 0.732933541; 0.768280606; 0.789458997; 0.816868247; 0.819911387; 0.899757966; 0.909913719; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27
panel_render_fig6_adonly	6	10	55316bd996f9	NO	2	0; 0.66
panel_render_fig6_adonly	7	28	afb9408aa0af	NO	7	0; 1; 2; 3; 4; 5; 6
master_fig6_2x2	0	56	f2b8f84149d5	YES	28	-0.322029888; -0.169075449; -0.149255613; -0.0750520438; 0.00824863661; 0.060053792; 0.201249151; 0.218090034; 0.236924253; 0.262466895; 0.269885644; 0.286519558; 0.287185175; 0.287207279; 0.29679117; 0.327139823; 0.384982257; 0.389256779; 0.415503217; 0.467732358; 0.57565537; 0.588080569; 0.614950428; 0.623370367; 0.624204775; 0.63528819; 0.664754209; 0.899757966
master_fig6_2x2	1	4	f89f0d614930	YES	1	0
master_fig6_2x2	2	56	835fd1a246b7	YES	28	0.122295375; 0.195676642; 0.200667703; 0.367707734; 0.406709677; 0.407774582; 0.429166731; 0.441525845; 0.44600855; 0.45312398; 0.459655655; 0.461326079; 0.469072678; 0.469200155; 0.490943646; 0.508882239; 0.513413136; 0.537137971; 0.542657598; 0.5557637; 0.598145356; 0.686390983; 0.732933541; 0.768280606; 0.789458997; 0.816868247; 0.819911387; 0.909913719
master_fig6_2x2	3	4	f89f0d614930	YES	1	0
master_fig6_2x2	4	22	84e3b12b29ce	YES	12	-479.223909; 0; 0.8; 1; 84.381074; 211.763368; 287.761411; 413.935315; 428.648414; 790.607556; 935.70809; 2024.30666
master_fig6_2x2	5	270	00a785b1a1ab	YES	85	-1; -0.322029888; -0.169075449; -0.149255613; -0.0750520438; 0; 0.00824863661; 0.060053792; 0.122295375; 0.195676642; 0.200667703; 0.201249151; 0.218090034; 0.236924253; 0.262466895; 0.269885644; 0.286519558; 0.287185175; 0.287207279; 0.29679117; 0.327139823; 0.367707734; 0.384982257; 0.389256779; 0.406709677; 0.407774582; 0.415503217; 0.429166731; 0.441525845; 0.44600855; 0.45312398; 0.459655655; 0.461326079; 0.467732358; 0.469072678; 0.469200155; 0.490943646; 0.508882239; 0.513413136; 0.537137971; 0.542657598; 0.5557637; 0.57565537; 0.588080569; 0.598145356; 0.614950428; 0.623370367; 0.624204775; 0.63528819; 0.664754209; 0.686390983; 0.732933541; 0.768280606; 0.789458997; 0.816868247; 0.819911387; 0.899757966; 0.909913719; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27
master_fig6_2x2	6	10	8d4efd369e6f	NO	3	0.66; 9; 12
master_fig6_2x2	7	28	09a2df2ff8c1	NO	10	0; 1; 2; 3; 4; 5; 6; 9; 12; 13
