figure	panel	plotted_items	frozen_source_tables	plotting_script	plotted_values_dump	recovered_assets	reproduction_class	status	logged_value_rows
Fig1	A	design arm counts (B1 master sheet); analysis-matrix arm counts	B1_MASTER_SAMPLE_SHEET.tsv; B2_FROZEN_SAMPLE_TABLE.tsv	temp/f21_scripts/fig1.py	temp/f21_plotted_values/Fig1_values.tsv	output/figures/Fig1.tif; output/figures/Fig1.png; output/figures/Fig1.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	30
Fig1	B	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/fig1.py	n/a	output/figures/Fig1.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
Fig1	C	C4 genes FDR<0.05 (R/DESeq2); C5 genes FDR<0.05 (R/DESeq2); C5 stable subset genes; C4/C5 genes FDR<0.05 (PyDESeq2)	B35_DESEQ2_SUMMARY.tsv; C2_2_FROZEN_SIGNATURES_COVERAGE.tsv	temp/f21_scripts/fig1.py	temp/f21_plotted_values/Fig1_values.tsv	output/figures/Fig1.tif; output/figures/Fig1.png; output/figures/Fig1.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	60
Fig1	D	shared modules n	C2_2_FROZEN_SIGNATURES_COVERAGE.tsv	temp/f21_scripts/fig1.py	temp/f21_plotted_values/Fig1_values.tsv	output/figures/Fig1.tif; output/figures/Fig1.png; output/figures/Fig1.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	15
Fig2	A	comparator NES range (shared down); GSE C4 E2F Targets NES	C1_focus_pathways.tsv	temp/f21_scripts/fig2_ac_only.py	temp/f21_plotted_values/Fig2_values.tsv	output/figures/Fig2.tif; output/figures/Fig2.png; output/figures/Fig2.pdf	REDRAWN_FROM_FROZEN_TABLE (recovery layout trimmed to the FINAL legend; frozen tables only)	RECOVERED_FROM_FROZEN_TABLES	30
Fig2	B	GSE C4 Cholesterol Homeostasis NES	C1_focus_pathways.tsv	temp/f21_scripts/fig2_ac_only.py	temp/f21_plotted_values/Fig2_values.tsv	output/figures/Fig2.tif; output/figures/Fig2.png; output/figures/Fig2.pdf	REDRAWN_FROM_FROZEN_TABLE (recovery layout trimmed to the FINAL legend; frozen tables only)	RECOVERED_FROM_FROZEN_TABLES	15
Fig2	C	C5_UP MES diff / P; C5 axis rho TCGA	C3_C5_EXPLORATORY.tsv; _c5_axis_intermediate.tsv	temp/f21_scripts/fig2_ac_only.py	temp/f21_plotted_values/Fig2_values.tsv	output/figures/Fig2.tif; output/figures/Fig2.png; output/figures/Fig2.pdf	REDRAWN_FROM_FROZEN_TABLE (recovery layout trimmed to the FINAL legend; frozen tables only)	RECOVERED_FROM_FROZEN_TABLES	30
Fig2	D (EXCLUDED)	evidence-grade bars (layout only; numbers remain in C2_11_EVIDENCE_GRADES.tsv and Fig5D)	C2_11_EVIDENCE_GRADES.tsv	temp/f21_scripts/fig2.py (superseded layout)	temp/f21_plotted_values/Fig2_values.tsv	not exported (absent from FINAL legend; not cited in manuscript Results)	EXCLUDED_FROM_ASSET (layout surplus; FINAL legend enumerates A-C only)	EXCLUDED_NOT_IN_LEGEND	0
Fig3	A	arrays per cell line x stimulus	B1_EMTAB9043_METADATA.tsv	temp/f21_scripts/fig3.py	temp/f21_plotted_values/Fig3_values.tsv	output/figures/Fig3.tif; output/figures/Fig3.png; output/figures/Fig3.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	117
Fig3	B	signed NES	C1_focus_pathways.tsv	temp/f21_scripts/fig3.py	temp/f21_plotted_values/Fig3_values.tsv	output/figures/Fig3.tif; output/figures/Fig3.png; output/figures/Fig3.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	1144
Fig4	A	Layer A discovery patients/malignant cells; Layer A replication samples/patients/malignant/core-state; Layer B CNV pool cells	C2_4_QC_NEFTEL_SS2.tsv; C2_LAYERB_CNV_QC.tsv	temp/f21_scripts/fig4.py	temp/f21_plotted_values/Fig4_values.tsv	output/figures/Fig4.tif; output/figures/Fig4.png; output/figures/Fig4.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	48
Fig4	B	mean patient-level AUC delta	C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv	temp/f21_scripts/fig4.py	temp/f21_plotted_values/Fig4_values.tsv	output/figures/Fig4.tif; output/figures/Fig4.png; output/figures/Fig4.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	1120
Fig4	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/fig4.py	n/a	output/figures/Fig4.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
Fig4	D	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/fig4.py	n/a	output/figures/Fig4.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	temp/f21_scripts/fig5.py	temp/f21_plotted_values/Fig5_values.tsv	output/figures/Fig5.tif; output/figures/Fig5.png; output/figures/Fig5.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	256
Fig5	B	loo_flips_top; flip	C2_couturier_layerA_lopo.tsv; ss2_lopo.tsv	temp/f21_scripts/fig5.py	temp/f21_plotted_values/Fig5_values.tsv	output/figures/Fig5.tif; output/figures/Fig5.png; output/figures/Fig5.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	672
